Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.12168,10.57,11.1206,1,12.9613,1.8407,0.00067812,14.0397,
2,2,1,1,0.13,0,1,9.625,0,15.789000000000001,25.4163,25.9324,0,28.5286,2.5962,0.00068252,28.9121,
3,2,1,3,0.91,1,0,11.375,1,30.6646,42.0519,42.5736,1,44.2878,1.7142,0.00066272,45.5368,46.7709
4,3,1,1,0.15,1,1,9.625,1,47.294,56.9257,57.4427,0,59.3674,1.9247,0.00066785,60.4105,
5,1,1,2,0.61,0,1,10.5,0,62.1616,72.6881,73.188,1,74.5992,1.4112,0.00067152,76.1682,
6,3,1,1,0.31,1,0,11.375,0,77.9202,89.3081,89.8174,1,91.6307,1.8132,0.00067005,92.79299999999999,94.027
7,3,1,3,0.79,1,0,10.5,0,94.5438,105.0657,105.5492,1,107.1823,1.633,0.00067005,108.5461,109.7802
8,1,1,1,0.1,0,0,10.5,0,110.3125,120.8101,121.3236,0,124.1255,2.8019,0.00066419,124.2926,
9,3,1,2,0.58,1,1,9.625,0,126.0424,135.6971,136.1974,1,137.4854,1.288,0.00066639,139.1723,140.4106
10,3,1,2,0.36,1,0,11.375,1,140.922,152.3219,152.8221,1,154.5886,1.7665,0.00067445,155.8067,157.0385
11,1,1,3,0.82,0,0,10.5,1,157.5577,168.0657,168.5822,1,169.9079,1.3257,0.00067958,171.5481,
12,3,1,1,0.22,1,0,10.5,1,173.2986,183.8286,184.3374,1,186.7398,2.4025,0.00066492,187.3111,188.5439
13,3,1,3,0.87,0,0,10.5,1,189.0606,199.5781,200.0783,1,201.3552,1.2769,0.00067372,203.063,
14,1,1,2,0.45,0,0,10.5,0,204.8139,215.3379,215.8378,1,217.3229,1.4852,0.00069278,218.8202,
15,2,1,3,0.7,0,1,9.625,0,220.5715,230.2177,230.7176,1,232.2904,1.5728,0.00067592,233.6943,
16,1,1,1,0.27,0,1,10.5,1,235.4497,245.9671,246.4674,1,247.9139,1.4465,0.00067225,249.4464,
17,2,1,2,0.4,0,0,11.375,0,251.196,262.5934,263.0933,1,264.5534,1.4602,0.00067079,266.0759,
18,1,1,1,0.18,0,0,10.5,1,267.8277,278.3397,278.8498,1,280.5444,1.6946,0.00066785,281.8221,
19,1,1,3,0.74,0,0,10.5,0,283.5718,294.0904,294.6025,1,296.2083,1.6058,0.00066932,297.5753,
20,3,1,2,0.52,1,0,10.5,1,299.3347,309.8489,310.3488,1,311.5756,1.2268,0.00066932,313.3313,314.5636
21,1,1,1,0.34,0,1,9.625,0,315.0839,324.7288,325.2287,1,326.7672,1.5385,0.00066859,328.2111,
22,3,1,3,0.7,1,0,11.375,1,329.9608,341.3582,341.8636,1,343.1587,1.2951,0.00066639,344.8315,346.0703
23,2,1,2,0.65,0,1,9.625,0,346.5903,356.23800000000006,356.7379,1,358.3263,1.5884,0.00066419,359.7055,
24,2,1,2,0.49,1,0,11.375,1,361.4564,372.8619,373.3621,1,374.6859,1.3238,0.00067372,376.3333,377.5739
25,2,1,2,0.57,0,1,9.625,0,378.0828,387.7357,388.236,1,389.4534,1.2174,0.00067152,391.2207,
26,2,1,1,0.22,1,1,10.5,1,392.9716,403.4936,403.9936,1,405.5167,1.5231,0.00066345,406.9615,408.2034
27,1,1,2,0.4,1,0,11.375,1,408.7255,420.1181,420.6229,1,421.7087,1.0858,0.00067518,423.5888,424.8326
28,2,1,1,0.27,1,0,10.5,1,425.355,435.8757,436.3759,1,437.556,1.1801,0.00068545,439.3518,440.5866
29,1,1,3,0.88,0,0,10.5,1,441.1013,451.6166,452.1336,1,453.5953,1.4618,0.00066345,455.1016,
30,3,1,1,0.09,1,1,9.625,0,456.8524,466.4954,467.0074,0,469.1788,2.1714,0.00066639,469.9777,
31,3,1,2,0.44,1,1,10.5,1,471.7275,482.2481,482.7483,1,484.0745,1.3263,0.00066272,485.7331,486.9708
32,3,1,3,0.95,1,0,11.375,0,487.4904,498.8728,499.3897,1,500.506,1.1162,0.00066785,502.3578,503.598
33,2,1,3,0.75,1,0,10.5,1,504.1197,514.6173,515.134,1,516.3616,1.2276,0.00067372,518.1165,519.3533
34,2,1,1,0.06,1,0,10.5,0,519.8662,530.3881,530.8969,0,532.985,2.0881,0.00066199,533.8729,
35,2,1,3,0.83,0,1,9.625,0,535.6238,545.2619,545.7768,1,547.0969,1.3201,0.00067518,548.7467,
36,1,1,3,0.66,0,1,10.5,1,550.4978,561.0195,561.5231,1,562.8242,1.3011,0.00066712,564.489,
37,3,2,3,0.84,1,1,10.5,1,566.2387,576.7694,577.2693,1,578.4319,1.1625,0.00066859,580.2518,581.4874
38,1,2,3,0.93,0,1,10.5,0,582.0015,592.5181,593.0184,1,594.4149,1.3965,0.00066859,596.0031,
39,3,2,1,0.2,1,0,11.375,1,597.7539,609.1452,609.6449,1,611.6226,1.9776,0.00068105,612.6276,613.8667
40,3,2,2,0.41,1,1,9.625,1,614.3786,624.025,624.5249,1,625.8941,1.3692,0.00066492,627.5073,628.7469
41,1,2,2,0.59,0,1,10.5,1,629.257,639.7743,640.2746,1,641.4536,1.179,0.00086726,643.2591,
42,1,2,3,0.85,0,1,10.5,1,645.02,655.5343,656.0175,1,657.2448,1.2274,0.00066639,659.0167,
43,3,2,3,0.92,1,0,11.375,1,660.7677,672.1469999999999,672.6469,1,673.8767,1.2298,0.00068985,675.6462,676.8784
44,2,2,3,0.8,0,1,9.625,0,677.3957,687.0305,687.5307,1,689.1085,1.5778,0.00066639,690.5260000000001,
45,1,2,2,0.37,0,1,10.5,0,692.2756,702.7731,703.2729,1,705.1317,1.8588,0.00071624,706.2729,
46,1,2,3,0.8,1,1,10.5,1,708.0239,718.5361,719.0360000000001,1,721.2749,2.239,0.00066712,722.0307,723.2632
47,2,2,2,0.62,0,1,10.5,0,723.7848,734.2867,734.7869,1,736.3785,1.5916,0.00066932,737.7814,
48,2,2,1,0.11,1,1,10.5,0,739.5392,750.0453,750.5284,0,753.1303,2.6019,0.00067152,753.5291,
49,3,2,2,0.5,1,0,11.375,0,755.2801,766.6747,767.1693,1,768.4497,1.2804,0.00066859,770.1571,771.3957
50,3,2,2,0.63,1,1,9.625,0,771.9068,781.5429,782.0431,1,783.2095,1.1664,0.00066565,785.0369,786.2741
51,2,2,3,0.89,0,0,11.375,1,786.7954,798.1676,798.6678,1,799.7286,1.0608,0.00067005,801.6692,
52,1,2,3,0.71,0,1,9.625,0,803.4201,813.0472,813.547,1,815.0164,1.4693,0.00067005,816.5463,
53,2,2,1,0.19,1,0,11.375,1,818.2959,829.6766,830.1831,1,832.2556,2.0726,0.00066492,833.1756,834.4087
54,2,2,2,0.46,0,0,10.5,1,834.9253,845.4237,845.924,1,847.1835,1.2595,0.00067445,848.9254,
55,3,2,1,0.07,0,1,9.625,0,850.6763,860.3143,860.8146,0,862.7668,1.9522,0.00066639,863.8018,
56,3,2,2,0.55,1,0,11.375,1,865.5514,876.939,877.4393,1,878.6542,1.2149,0.00066419,880.4313,881.6671
57,2,2,3,0.67,1,1,9.625,1,882.1808,891.8129,892.3131,1,893.622,1.3089,0.00067372,895.3111,896.5466
58,2,2,1,0.25,0,0,11.375,1,897.0654,908.4414,908.9413,1,909.8618,0.9205200000000001,0.00067225,911.9403,
59,3,2,1,0.28,1,0,10.5,1,913.6901,924.1952,924.6955,1,925.9651,1.2696,0.00067299,927.6968,928.9302
60,1,2,1,0.32,0,1,9.625,0,929.4477,939.0689,939.5841,1,941.2928,1.7088,0.00066785,942.5706,
61,3,2,3,0.68,1,1,10.5,1,944.3215,954.8305,955.3436,1,956.7318,1.3882,0.00068105,958.3294,959.5604
62,1,2,1,0.07,0,1,10.5,0,960.0791,970.5842,971.0933,0,972.9073,1.814,0.00066345,974.0757,
63,2,2,2,0.54,1,0,11.375,0,975.8368,987.209,987.7093,1,989.0266,1.3174,0.00067152,990.7106,991.943
64,2,2,3,0.75,1,0,10.5,0,992.4615,1002.9691,1003.4689999999999,1,1004.8743,1.4053,0.00066859,1006.4514,1007.6961
65,1,2,1,0.23,0,1,9.625,0,1008.2024,1017.8405,1018.3489,1,1020.1061,1.7572,0.00066492,1021.342,
66,1,2,2,0.5,0,1,10.5,0,1023.0930000000001,1033.5981,1034.0982,1,1035.4254,1.3271,0.00067152,1037.0944,
67,3,2,1,0.14,1,0,11.375,0,1038.8506,1050.2247,1050.7246,0,1052.9449,2.2203,0.00066492,1053.7078,
68,2,2,1,0.32,0,1,9.625,0,1055.4752,1065.1045,1065.6136,1,1066.8723,1.2587,0.00066932,1068.5983,
69,1,2,2,0.45,0,0,11.375,1,1070.3532,1081.7381,1082.2383,1,1084.0881,1.8498,0.00066785,1085.2229,
70,2,2,2,0.38,1,0,10.5,0,1086.9738,1097.4802,1097.98,1,1099.3515,1.3715,0.00066785,1100.9807,1102.2127
71,3,2,3,0.76,1,1,9.625,0,1102.7315,1112.36,1112.8599,1,1114.1988,1.3389,0.00067005,1115.8592,1117.0921
72,1,2,1,0.16,0,0,11.375,0,1117.6088,1128.9895,1129.4892,1,1131.5984,2.1092,0.00066859,1132.4884,
73,3,3,2,0.39,1,1,9.625,0,1134.2382,1143.8693,1144.3692,1,1145.7662,1.3969999999999998,0.00066565,1147.3529,1148.5982
74,2,3,1,0.24,1,1,10.5,0,1149.1206,1159.6156,1160.126,1,1161.5016,1.3756,0.00071697,1163.1147,1164.3521
75,2,3,3,0.86,0,0,11.375,0,1164.8643,1176.2617,1176.7507,1,1178.0051,1.2544,0.00067592,1179.744,
76,1,3,2,0.56,0,1,9.625,0,1181.4937,1191.1248,1191.6247,1,1194.0846,2.4599,0.00067445,1194.6259,
