Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.038235000000000005,10.5663,11.0876,1,12.1499,1.0623,0.0007001,14.0336,
2,2,1,1,0.13,0,1,9.625,0,15.7866,25.4191,25.9292,0,27.6535,1.7243,0.00070597,28.9116,
3,2,1,3,0.91,1,0,11.375,1,30.6613,42.0586,42.5698,1,44.0849,1.515,0.00067445,45.5337,46.7714
4,3,1,1,0.15,1,1,9.625,1,47.2906,56.9327,57.4382,0,59.4525,2.0142,0.00067078,60.4155,
5,1,1,2,0.61,0,1,10.5,0,62.1654,72.6845,73.1844,1,74.7956,1.6112,0.00067371,76.1669,
6,3,1,1,0.31,1,0,11.375,0,77.9165,89.3138,89.8137,1,91.4513,1.6377,0.00067665,92.7794,94.0251
7,3,1,3,0.79,1,0,10.5,0,94.5458,105.0613,105.5612,1,106.8102,1.249,0.00067445,108.5441,109.7785
8,1,1,1,0.1,0,0,10.5,0,110.3107,120.8097,121.3263,1,123.0338,1.7075,0.00067811,124.2925,
9,3,1,2,0.58,1,1,9.625,0,126.0425,135.6916,136.2024,1,138.1694,1.9669999999999999,0.00067371,139.1744,140.41
10,3,1,2,0.36,1,0,11.375,1,140.9245,152.3233,152.8317,0,154.7926,1.9609,0.00067445,155.8063,
11,1,1,3,0.82,0,0,10.5,1,157.5561,168.0614,168.5779,1,169.952,1.3741,0.00068104,171.5603,
12,3,1,1,0.22,1,0,10.5,1,173.31,183.8242,184.3369,0,185.7912,1.4544,0.00068398,187.3065,
13,3,1,3,0.87,0,0,10.5,1,189.0562,199.5704,200.0869,1,201.5108,1.4238,0.00067151,203.0527,
14,1,1,2,0.45,0,0,10.5,0,204.8024,215.3338,215.8337,1,217.4943,1.6606,0.00067225,218.8166,
15,2,1,3,0.7,0,1,9.625,0,220.5666,230.199,230.6988,1,231.7736,1.0748,0.00067151,233.6818,
16,1,1,1,0.27,0,1,10.5,1,235.4484,245.9595,246.4641,1,247.9809,1.5168,0.00067151,249.4469,
17,2,1,2,0.4,0,0,11.375,0,251.1968,262.5716,263.0957,1,264.1168,1.0211,0.00067445,266.0708,
18,1,1,1,0.18,0,0,10.5,1,267.8204,278.3442,278.8511,1,279.9881,1.1369,0.00066785,281.8272,
19,1,1,3,0.74,0,0,10.5,0,283.5768,294.0806,294.5973,1,295.691,1.0937,0.00069424,297.5755,
20,3,1,2,0.52,1,0,10.5,1,299.3294,309.8436,310.3435,1,311.7947,1.4512,0.00067225,313.32599999999996,314.5639
21,1,1,1,0.34,0,1,9.625,0,315.0756,324.7067,325.2232,1,326.4344,1.2112,0.00067738,328.20599999999996,
22,3,1,3,0.7,1,0,11.375,1,329.9558,341.338,341.8547,1,343.0896,1.235,0.00066565,344.8376,346.0692
23,2,1,2,0.65,0,1,9.625,0,346.5875,356.2366,356.7365,1,357.8254,1.0888,0.00075875,359.7146,
24,2,1,2,0.49,1,0,11.375,1,361.4694,372.8616,373.3683,1,374.3922,1.0239,0.00067591,376.344,377.5763
25,2,1,2,0.57,0,1,9.625,0,378.0937,387.7414,388.2412,1,389.2316,0.99039,0.00067518,391.2237,
26,2,1,1,0.22,1,1,10.5,1,392.9734,403.4875,403.9874,1,405.2474,1.2599,0.00068471,406.9698,408.207
27,1,1,2,0.4,1,0,11.375,1,408.7313,420.1168,420.6167,1,421.7823,1.1656,0.0018936,423.5991,424.8365
28,2,1,1,0.27,1,0,10.5,1,425.3488,435.8797,436.3796,1,437.8939,1.5144,0.00067078,439.3453,440.591
29,1,1,3,0.88,0,0,10.5,1,441.1117,451.6272,452.1272,1,453.2848,1.1577,0.0023408,455.11,
30,3,1,1,0.09,1,1,9.625,0,456.86,466.5091,467.009,0,468.7886,1.7796,0.00067298,469.9879,
31,3,1,2,0.44,1,1,10.5,1,471.7419,482.2575,482.7575,1,484.1005,1.3430000000000002,0.00067298,485.7405,486.9744
32,3,1,3,0.95,1,0,11.375,0,487.4903,498.8893,499.3892,1,500.6993,1.3102,0.00067445,502.3635,503.6021
