Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.046135,10.562000000000001,11.0892,1,12.6227,1.5335,0.00069498,14.0297,
2,2,1,1,0.13,0,1,9.625,0,15.7782,25.4274,25.9274,1,27.0624,1.135,0.00069205,28.9103,
3,2,1,3,0.91,1,0,11.375,1,30.6602,42.0485,42.5717,1,44.0936,1.5218,0.00067226,45.5309,46.7695
4,3,1,1,0.15,1,1,9.625,1,47.2806,56.9285,57.4284,1,58.5091,1.0807,0.00066273,60.4109,61.6454
5,1,1,2,0.61,0,1,10.5,0,62.1606,72.6749,73.1914,1,74.1248,0.9333799999999999,0.00067079,76.1573,
6,3,1,1,0.31,1,0,11.375,0,77.907,89.3054,89.8054,1,90.6846,0.87925,0.00066859,92.7883,94.0258
7,3,1,3,0.79,1,0,10.5,0,94.5382,105.0675,105.5707,1,106.7882,1.2175,0.00068692,108.55,109.7796
8,1,1,1,0.1,0,0,10.5,0,110.3036,120.8194,121.3194,1,122.5717,1.2523,0.00066932,124.2963,
9,3,1,2,0.58,1,1,9.625,0,126.0523,135.6938,136.2014,1,137.1237,0.9222600000000001,0.00066639,139.1762,140.4106
10,3,1,2,0.36,1,0,11.375,1,140.9259,152.3234,152.8233,1,153.9956,1.1723,0.00066786,155.8058,157.04
11,1,1,3,0.82,0,0,10.5,1,157.5555,168.0698,168.5864,1,169.4106,0.82424,0.00067739,171.5521,
12,3,1,1,0.22,1,0,10.5,1,173.315,183.8329,184.3327,1,186.3546,2.0219,0.00066639,187.3138,188.5454
13,3,1,3,0.87,0,0,10.5,1,189.0649,199.5795,200.0794,1,201.2499,1.1705,0.00066786,203.0625,
14,1,1,2,0.45,0,0,10.5,0,204.8123,215.3424,215.8449,0,218.15400000000002,2.3091,0.00066639,218.8248,
15,2,1,3,0.7,0,1,9.625,0,220.5744,230.1935,230.7101,1,232.3212,1.6112,0.00066786,233.6932,
16,1,1,1,0.27,0,1,10.5,1,235.4431,245.9687,246.4686,1,249.4288,2.9602,0.00067592,249.451,
17,2,1,2,0.4,0,0,11.375,0,251.2008,262.5909,263.0981,1,264.5848,1.4867,0.00067812,266.0737,
18,1,1,1,0.18,0,0,10.5,1,267.8303,278.3446,278.8445,1,281.368,2.5235,0.00068472,281.8271,
19,1,1,3,0.74,0,0,10.5,0,283.5766,294.0742,294.5909,1,296.3196,1.7286,0.00067446,297.5735,
20,3,1,2,0.52,1,0,10.5,1,299.3398,309.8541,310.35400000000004,1,312.1753,1.8213,0.00067226,313.3364,314.5702
21,1,1,1,0.34,0,1,9.625,0,315.0863,324.7194,325.2357,1,327.1668,1.9312,0.00068032,328.2164,
22,3,1,3,0.7,1,0,11.375,1,329.9685,341.351,341.8635,1,343.0946,1.2311,0.00067006,344.834,346.0739
23,2,1,2,0.65,0,1,9.625,0,346.5957,356.2269,356.7434,1,358.0466,1.3032,0.00067959,359.716,
24,2,1,2,0.49,1,0,11.375,1,361.4659,372.865,373.365,1,374.974,1.609,0.00067446,376.348,377.5821
25,2,1,2,0.57,0,1,9.625,0,378.0978,387.7363,388.2362,1,390.6376,2.4013,0.00067152,391.2188,
26,2,1,1,0.22,1,1,10.5,1,392.9799,403.4827,403.9827,1,406.0854,2.1027,0.00067152,406.9787,408.2103
27,1,1,2,0.4,1,0,11.375,1,408.7315,420.1123,420.6122,1,421.9889,1.3767,0.00067226,423.5948,424.8399
28,2,1,1,0.27,1,0,10.5,1,425.3611,435.8764,436.3764,1,437.5808,1.2045,0.00067079,439.3594,440.5933
29,1,1,3,0.88,0,0,10.5,1,441.1092,451.625,452.1251,1,453.8603,1.7352,0.00066273,455.1079,
30,3,1,1,0.09,1,1,9.625,0,456.8579,466.5072,467.0071,0,469.8996,2.8924,0.00068399,469.99,
31,3,1,2,0.44,1,1,10.5,1,471.74,482.2648,482.7647,1,484.6756,1.9109,0.00066053,485.7387,486.9759
32,3,1,3,0.95,1,0,11.375,0,487.4969,498.8943,499.3942,1,501.1631,1.7689,0.00066932,502.3706,503.6051
33,2,1,3,0.75,1,0,10.5,1,504.1264,514.6408,515.1406,1,516.3147,1.1741,0.00066786,518.1231,519.3576
34,2,1,1,0.06,1,0,10.5,0,519.8728,530.3872,530.9038,1,533.2102,2.3064,0.00067592,533.8695,535.1113
35,2,1,3,0.83,0,1,9.625,0,535.6192,545.2672,545.7672,1,546.8259,1.0587,0.00067152,548.7501,
36,1,1,3,0.66,0,1,10.5,1,550.5001,561.0159,561.5326,1,564.4895,2.9569,0.00067372,564.5127,
37,3,2,3,0.84,1,1,10.5,1,566.2622,576.7812,577.2812,1,578.465,1.1838,0.00069058,580.2643,581.495
38,1,2,3,0.93,0,1,10.5,0,582.0141,592.5299,593.0413,1,594.5771,1.5358,0.00066493,596.0128,
39,3,2,1,0.2,1,0,11.375,1,597.7628,609.1525,609.6619,1,611.0483,1.3864,0.00067519,612.6349,613.8754
40,3,2,2,0.41,1,1,9.625,1,614.3947,624.0324,624.5439,1,625.6958,1.1519,0.00066126,627.5149,628.7546
41,1,2,2,0.59,0,1,10.5,1,629.2645,639.7955,640.2954,1,641.6157,1.3203,0.00066493,643.2757,
42,1,2,3,0.85,0,1,10.5,1,645.0276,655.5419,656.0418,1,657.4474,1.4056,0.00066346,659.0244,
43,3,2,3,0.92,1,0,11.375,1,660.7742,672.1733,672.6733,1,673.9032,1.2299,0.00066859,675.6562,676.8872
44,2,2,3,0.8,0,1,9.625,0,677.4061,687.0386,687.5554,1,688.8789,1.3235,0.00067226,690.5338,
45,1,2,2,0.37,0,1,10.5,0,692.2882,702.8041,703.304,1,704.7504,1.4463,0.00067885,706.2869999999999,
46,1,2,3,0.8,1,1,10.5,1,708.0368,718.5360000000001,719.0608,1,720.5261,1.4653,0.00066859,722.0356,723.2709
47,2,2,2,0.62,0,1,10.5,0,723.793,734.3073,734.8181,1,736.2292,1.4111,0.00068179,737.7898,
48,2,2,1,0.11,1,1,10.5,0,739.5393,750.0537,750.5535,1,752.3813,1.8278,0.00067739,753.5360000000001,754.7762
49,3,2,2,0.5,1,0,11.375,0,755.2996,766.6832,767.1831,1,768.3811,1.1979,0.00067079,770.1657,771.4048
50,3,2,2,0.63,1,1,9.625,0,771.9152,781.5641,782.063,1,783.7723,1.7093,0.00067226,785.0471,786.2842
51,2,2,3,0.89,0,0,11.375,1,786.7971,798.1961,798.696,1,800.8364,2.1403,0.00066273,801.6791,
52,1,2,3,0.71,0,1,9.625,0,803.4288,813.0615,813.5781,1,816.0195,2.4414,0.00066786,816.555,
53,2,2,1,0.19,1,0,11.375,1,818.311,829.7022,830.2101,1,833.164,2.9539,0.00066639,833.1846,834.4185
54,2,2,2,0.46,0,0,10.5,1,834.9343,845.4485,845.9484,1,847.403,1.4546,0.00066713,848.9309,
55,3,2,1,0.07,0,1,9.625,0,850.6916,860.3409,860.8285,0,863.6586,2.8301,0.00067152,863.8109,
56,3,2,2,0.55,1,0,11.375,1,865.5607,876.9581,877.4580000000001,1,879.2982,1.8402,0.00066419,880.4405,881.6754
57,2,2,3,0.67,1,1,9.625,1,882.1902,891.8382,892.3382,1,893.8259,1.4877,0.00066786,895.3211,896.5537
58,2,2,1,0.25,0,0,11.375,1,897.0711,908.4702,908.9702,1,911.6494,2.6792,0.00066786,911.9499,
59,3,2,1,0.28,1,0,10.5,1,913.6997,924.2189,924.7189,1,927.6805,2.9616,0.00066932,927.7018,928.9339
60,1,2,1,0.32,0,1,9.625,0,929.4517,939.0939,939.6009,1,942.2811,2.6802,0.00067446,942.5763,
61,3,2,3,0.68,1,1,10.5,1,944.3338,954.8496,955.3577,1,956.6806,1.3228,0.00067226,958.3325,959.5654
62,1,2,1,0.07,0,1,10.5,0,960.0891,970.6035,971.115,99,,,,974.0858,
63,2,2,2,0.54,1,0,11.375,0,975.8355,987.2330000000001,987.7329,1,989.2638,1.531,0.00070378,990.7154,991.9474
64,2,2,3,0.75,1,0,10.5,0,992.465,1002.9794,1003.4793,1,1004.8551,1.3759,0.00066273,1006.4619,1007.7007
65,1,2,1,0.23,0,1,9.625,0,1008.2118,1017.8610000000001,1018.3610000000001,1,1020.927,2.5659,0.00067666,1021.3439999999999,
66,1,2,2,0.5,0,1,10.5,0,1023.0939,1033.6097,1034.1223,1,1037.0793,2.9571,0.0021208999999999998,1037.1048,
67,3,2,1,0.14,1,0,11.375,0,1038.8545,1050.2417,1050.7518,1,1052.6785,1.9267,0.00067006,1053.7245,1054.961
68,2,2,1,0.32,0,1,9.625,0,1055.484,1065.1152,1065.6317,1,1067.0457,1.4140000000000001,0.00067299,1068.6066,
69,1,2,2,0.45,0,0,11.375,1,1070.3566,1081.7557,1082.2557,1,1084.5091,2.2534,0.00066932,1085.2271,
70,2,2,2,0.38,1,0,10.5,0,1086.9885,1097.5044,1098.0077,99,,,,1100.9873,
