Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.1097,10.5742,11.1245,1,13.0659,1.9414,0.00073604,14.0414,
2,2,1,1,0.13,0,1,9.625,0,15.7896,25.421,25.9213,1,27.7291,1.8079,0.00072211,28.906,
3,2,1,3,0.91,1,0,11.375,1,30.6695,42.0503,42.5744,1,43.8809,1.3065,0.00072797,45.5327,46.7722
4,3,1,1,0.15,1,1,9.625,1,47.2824,56.9369,57.4367,0,59.0721,1.6354,0.00070891,60.4126,
5,1,1,2,0.61,0,1,10.5,0,62.1723,72.6942,73.1945,1,74.4481,1.2536,0.00070085,76.1624,
6,3,1,1,0.31,1,0,11.375,0,77.9134,89.3062,89.8061,0,92.064,2.2578,0.00069132,92.7887,
7,3,1,3,0.79,1,0,10.5,0,94.5382,105.0693,105.5692,1,106.759,1.1899,0.00070671,108.545,109.7811
8,1,1,1,0.1,0,0,10.5,0,110.318,120.8178,121.3181,1,122.6628,1.3447,0.00069865,124.3027,
9,3,1,2,0.58,1,1,9.625,0,126.0537,135.6956,136.1955,1,137.1826,0.98705,0.00070158,139.1781,140.4118
10,3,1,2,0.36,1,0,11.375,1,140.9277,152.3252,152.8251,1,154.6225,1.7974,0.00070011,155.8075,157.04
11,1,1,3,0.82,0,0,10.5,1,157.5572,168.0744,168.5747,1,169.7897,1.2151,0.00069938,171.5592,
12,3,1,1,0.22,1,0,10.5,1,173.3102,183.8346,184.3346,1,185.8217,1.4871,0.00070011,187.317,188.5473
13,3,1,3,0.87,0,0,10.5,1,189.06799999999998,199.5899,200.0901,1,200.8769,0.78673,0.00071698,203.0635,
14,1,1,2,0.45,0,0,10.5,0,204.8132,215.3309,215.8312,1,216.645,0.81382,0.00069718,218.8159,
15,2,1,3,0.7,0,1,9.625,0,220.5668,230.2216,230.7218,1,231.5562,0.83439,0.00070158,233.6898,
16,1,1,1,0.27,0,1,10.5,1,235.4406,245.9536,246.4704,1,247.5481,1.0778,0.00070525,249.4475,
17,2,1,2,0.4,0,0,11.375,0,251.2026,262.6001,263.0999,1,263.9232,0.82329,0.00071404,266.0724,
18,1,1,1,0.18,0,0,10.5,1,267.8234,278.3464,278.8463,1,280.08299999999997,1.2367,0.00070158,281.8302,
19,1,1,3,0.74,0,0,10.5,0,283.58099999999996,294.103,294.6032,1,295.4347,0.8315,0.00070011,297.5753,
20,3,1,2,0.52,1,0,10.5,1,299.3248,309.8272,310.3558,1,311.7068,1.351,0.00070158,313.3289,314.5659
21,1,1,1,0.34,0,1,9.625,0,315.08799999999997,324.7358,325.2357,1,327.2585,2.0227,0.00069938,328.2028,
22,3,1,3,0.7,1,0,11.375,1,329.9679,341.3426,341.8485,99,,,,344.8312,
23,2,1,2,0.65,0,1,9.625,0,346.5809,356.2334,356.7337,1,357.6413,0.9075799999999999,0.00070158,359.7183,
24,2,1,2,0.49,1,0,11.375,1,361.4693,372.8582,373.3417,1,374.2894,0.9476399999999999,0.00069718,376.3432,377.5766
25,2,1,2,0.57,0,1,9.625,0,378.0941,387.7382,388.2381,1,388.9126,0.67453,0.00070818,391.2205,
26,2,1,1,0.22,1,1,10.5,1,392.9702,403.49,403.9902,1,404.76800000000003,0.77773,0.00070231,406.9748,408.2094
27,1,1,2,0.4,1,0,11.375,1,408.7258,420.1148,420.6151,1,421.7117,1.0966,0.00070378,423.5997,424.8366
28,2,1,1,0.27,1,0,10.5,1,425.3507,435.8772,436.3604,1,437.2474,0.8870299999999999,0.0021788,439.3597,440.5902
29,1,1,3,0.88,0,0,10.5,1,441.1092,451.6303,452.1306,1,453.287,1.1564,0.00069498,455.1059,
30,3,1,1,0.09,1,1,9.625,0,456.8557,466.5042,467.0045,0,468.6948,1.6903,0.00070231,469.9892,
31,3,1,2,0.44,1,1,10.5,1,471.7401,482.26199999999994,482.7498,1,483.9503,1.2005,0.00070671,485.7325,486.9728
32,3,1,3,0.95,1,0,11.375,0,487.48199999999997,498.8868,499.3871,1,500.6851,1.2981,0.0024948,502.3619,503.601
33,2,1,3,0.75,1,0,10.5,1,504.1227,514.6445,515.1448,1,516.1817,1.0368,0.00070158,518.1127,519.3545
34,2,1,1,0.06,1,0,10.5,0,519.8746,530.389,530.8889,1,531.6772,0.78833,0.00071331,533.8713,535.1079
