Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11400999999999999,10.5596,11.1269,1,13.1061,1.9792,0.00032403,14.0312,
2,2,1,1,0.13,0,1,9.625,0,15.7917,25.4256,25.9262,0,27.0097,1.0834,0.00025732,28.9127,
3,2,1,3,0.91,1,0,11.375,1,30.6648,42.0524,42.5733,1,44.1692,1.5959,0.00028958,45.5349,46.772
4,3,1,1,0.15,1,1,9.625,1,47.2845,56.9323,57.4446,0,58.4971,1.0525,0.00034383,60.4147,
5,1,1,2,0.61,0,1,10.5,0,62.1665,72.6792,73.1955,1,74.2325,1.037,0.00030057,76.1653,
6,3,1,1,0.31,1,0,11.375,0,77.9173,89.3134,89.8138,0,90.8162,1.0024,0.00026832,92.7907,
7,3,1,3,0.79,1,0,10.5,0,94.5404,105.0714,105.5713,1,106.3202,0.74893,0.00049998,108.5513,109.7815
8,1,1,1,0.1,0,0,10.5,0,110.3034,120.8178,121.3177,1,122.9834,1.6657,0.00030497,124.3023,
9,3,1,2,0.58,1,1,9.625,0,126.0543,135.6815,136.1989,1,137.6311,1.4322,0.00027711,139.1801,140.4129
10,3,1,2,0.36,1,0,11.375,1,140.9298,152.3273,152.8272,0,153.911,1.0838,0.00041714,155.8096,
11,1,1,3,0.82,0,0,10.5,1,157.5593,168.0737,168.585,1,169.6224,1.0374,0.00036142,171.5562,
12,3,1,1,0.22,1,0,10.5,1,173.3068,183.8201,184.3366,0,185.31,0.97334,0.00028078,187.3056,
13,3,1,3,0.87,0,0,10.5,1,189.0575,199.5693,200.07,1,201.1977,1.1277,0.00030789999999999995,203.0656,
14,1,1,2,0.45,0,0,10.5,0,204.8152,215.33700000000002,215.8375,1,216.6534,0.81591,0.00036948,218.8119,
15,2,1,3,0.7,0,1,9.625,0,220.5615,230.2095,230.7207,1,231.733,1.0122,0.00034236,233.6919,
16,1,1,1,0.27,0,1,10.5,1,235.4426,245.9559,246.4725,1,247.5965,1.124,0.00028738,249.4414,
17,2,1,2,0.4,0,0,11.375,0,251.1935,262.5895,263.0852,1,264.8282,1.743,0.00031010000000000006,266.0766,
18,1,1,1,0.18,0,0,10.5,1,267.8175,278.3318,278.8484,1,279.9321,1.0837,0.00043180000000000003,281.83099999999996,
19,1,1,3,0.74,0,0,10.5,0,283.5806,294.0949,294.5947,1,295.4274,0.83273,0.00025365,297.5784,
20,3,1,2,0.52,1,0,10.5,1,299.3304,309.8421,310.3427,0,312.163,1.8204,0.00027125,313.3293,
21,1,1,1,0.34,0,1,9.625,0,315.0812,324.7253,325.2259,1,326.0426,0.81671,0.00030204,328.2038,
22,3,1,3,0.7,1,0,11.375,1,329.9534,341.3508,341.8611,1,343.4582,1.5971,0.00023239,344.8333,346.0695
23,2,1,2,0.65,0,1,9.625,0,346.5831,356.2308,356.7306,1,357.939,1.2085,0.001214,359.7142,
24,2,1,2,0.49,1,0,11.375,1,361.4661,372.8622,373.3628,1,376.21,2.8471,0.00054616,376.3426,377.5728
25,2,1,2,0.57,0,1,9.625,0,378.0924,387.7288,388.246,1,389.3931,1.1471,0.00019647,391.2159,
26,2,1,1,0.22,1,1,10.5,1,392.9723,403.4867,403.9969,0,405.4255,1.4286,0.00091345,406.969,
27,1,1,2,0.4,1,0,11.375,1,408.7187,420.1162,420.6161,1,421.7525,1.1364,0.00051097,423.5986,424.8322
28,2,1,1,0.27,1,0,10.5,1,425.3539,435.8656,436.3662,0,437.6641,1.2979,0.00028591,439.3528,
29,1,1,3,0.88,0,0,10.5,1,441.1048,451.6257,452.1256,99,,,,455.1036,
30,3,1,1,0.09,1,1,9.625,0,456.8577,466.4997,467.0055,0,468.3913,1.3858,0.00024779,469.9713,
31,3,1,2,0.44,1,1,10.5,1,471.7221,482.25199999999995,482.7519,0,484.4713,1.7193,0.00044866,485.721,
32,3,1,3,0.95,1,0,11.375,0,487.4897,498.8815,499.3814,1,500.2029,0.8214299999999999,0.00020380000000000002,502.3562,503.5931
33,2,1,3,0.75,1,0,10.5,1,504.1136,514.628,515.1372,1,516.1662,1.0290000000000001,0.00030057,518.1104,519.3464
34,2,1,1,0.06,1,0,10.5,0,519.8602,530.3911,530.8909,0,532.0938,1.2029,0.00025879,533.8578,
35,2,1,3,0.83,0,1,9.625,0,535.61,545.2543,545.7713,1,547.2856,1.5143,0.00029691,548.7411,
36,1,1,3,0.66,0,1,10.5,1,550.4931,561.0174,561.5222,1,562.821,1.2989,0.00030131,564.492,
37,3,2,3,0.84,1,1,10.5,1,566.2495,576.7638,577.273,1,578.4928,1.2199,0.00028151,580.2463,581.4804
38,1,2,3,0.93,0,1,10.5,0,581.9959,592.5233,593.0268,1,594.3004,1.2736,0.00027858,595.9936,
39,3,2,1,0.2,1,0,11.375,1,597.7457,609.1418,609.6423,0,610.9962,1.3539,0.00037242,612.6288,
40,3,2,2,0.41,1,1,9.625,1,614.3809,624.025,624.5256,99,,,,627.5021,
41,1,2,2,0.59,0,1,10.5,1,629.2518,639.7759,640.2826,1,641.4916,1.209,0.00048825,643.2485,
42,1,2,3,0.85,0,1,10.5,1,644.9983,655.5124,656.0291,1,656.8909,0.86182,0.00026245,659.0117,
43,3,2,3,0.92,1,0,11.375,1,660.7612,672.1452,672.6586,1,674.4187,1.7601,0.0003057,675.6323,676.8689999999999
44,2,2,3,0.8,0,1,9.625,0,677.3908,687.0219,687.5457,99,,,,690.5210000000001,
45,1,2,2,0.37,0,1,10.5,0,692.2709,702.785,703.2849,1,704.3539999999999,1.0691,0.00037242,706.2674,
46,1,2,3,0.8,1,1,10.5,1,708.0183,718.5314,719.0312,1,720.0736,1.0424,0.00036729,722.0173,723.2549
47,2,2,2,0.62,0,1,10.5,0,723.7693,734.2945,734.7944,99,,,,737.7769,
48,2,2,1,0.11,1,1,10.5,0,739.5266,750.0409,750.5323,0,751.8254,1.2931,0.00082841,753.5233,
49,3,2,2,0.5,1,0,11.375,0,755.273,766.6705,767.1704,0,768.1842,1.0139,0.00019354,770.1541,
50,3,2,2,0.63,1,1,9.625,0,771.9060000000001,781.5504,782.0508,0,783.2719999999999,1.2212,0.0003123,785.0328,
51,2,2,3,0.89,0,0,11.375,1,786.7894,798.1854,798.686,1,799.9596,1.2736,0.00028444,801.6623,
52,1,2,3,0.71,0,1,9.625,0,803.4119,813.0599,813.5598,1,814.5197,0.95991,0.00072064,816.5423,
53,2,2,1,0.19,1,0,11.375,1,818.2919999999999,829.6728,830.1894,0,831.5671,1.3777,0.00043033,833.1576,
54,2,2,2,0.46,0,0,10.5,1,834.9215,845.438,845.9218,1,846.9667,1.045,0.00041054,848.9182,
55,3,2,1,0.07,0,1,9.625,0,850.668,860.3047,860.8218,0,861.8862,1.0644,0.00034383,863.7982,
