Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11400999999999999,10.5452,11.0951,1,12.9292,1.8342,0.00072504,14.0291,
2,2,1,1,0.13,0,1,9.625,0,15.7774,25.4101,25.9101,0,27.0165,1.1064,0.00071771,28.9097,
3,2,1,3,0.91,1,0,11.375,1,30.6597,42.038000000000004,42.5537,0,43.5605,1.0068,0.00070598,45.5371,
4,3,1,1,0.15,1,1,9.625,1,47.2916,56.9179,57.4178,0,58.6724,1.2545,0.00071038,60.4071,
5,1,1,2,0.61,0,1,10.5,0,62.1667,72.6729,73.1728,0,75.3435,2.1707,0.00071184,76.1633,
6,3,1,1,0.31,1,0,11.375,0,77.9131,89.2939,89.7938,0,91.0552,1.2614,0.00070598,92.79299999999999,
7,3,1,3,0.79,1,0,10.5,0,94.5426,105.0403,105.5569,0,107.1107,1.5538,0.00070745,108.5393,
8,1,1,1,0.1,0,0,10.5,0,110.3057,120.8034,121.3033,0,122.7428,1.4395,0.00070598,124.2857,
9,3,1,2,0.58,1,1,9.625,0,126.0521,135.6843,136.1842,0,137.5263,1.3421,0.00070891,139.1672,
10,3,1,2,0.36,1,0,11.375,1,140.9171,152.3128,152.8162,0,154.406,1.5898,0.00071258,155.799,
11,1,1,3,0.82,0,0,10.5,1,157.5491,168.0649,168.5649,1,170.1972,1.6324,0.00070378,171.5479,
12,3,1,1,0.22,1,0,10.5,1,173.308,183.8223,184.3302,0,185.9331,1.6029,0.0007462999999999999,187.3047,
13,3,1,3,0.87,0,0,10.5,1,189.0544,199.5687,200.0853,0,201.4525,1.3673,0.00070965,203.0512,
14,1,1,2,0.45,0,0,10.5,0,204.8118,215.3318,215.8317,1,217.5483,1.7166,0.0007375,218.8143,
15,2,1,3,0.7,0,1,9.625,0,220.5639,230.1955,230.7116,1,232.8599,2.1483,0.0007375,233.6774,
16,1,1,1,0.27,0,1,10.5,1,235.4438,245.9584,246.4584,0,248.4517,1.9934,0.00071038,249.4413,
17,2,1,2,0.4,0,0,11.375,0,251.1912,262.5903,263.0903,0,264.987,1.8967,0.00070891,266.0701,
18,1,1,1,0.18,0,0,10.5,1,267.8232,278.339,278.839,0,280.1469,1.3079,0.00070745,281.822,
19,1,1,3,0.74,0,0,10.5,0,283.5719,294.0877,294.5971,1,296.4427,1.8457,0.00070451,297.5706,
20,3,1,2,0.52,1,0,10.5,1,299.3293,309.8364,310.3364,0,312.8019,2.4656,0.00072577,313.32599999999996,
21,1,1,1,0.34,0,1,9.625,0,315.0757,324.7069,325.2234,0,326.874,1.6505,0.00070598,328.2061,
22,3,1,3,0.7,1,0,11.375,1,329.9556,341.3364,341.853,0,343.7376,1.8846,0.00078882,344.8355,
23,2,1,2,0.65,0,1,9.625,0,346.5852,356.2163,356.7163,1,358.7611,2.0449,0.00071258,359.6988,
24,2,1,2,0.49,1,0,11.375,1,361.4487,372.8478,373.3478,0,375.5843,2.2366,0.0010044000000000001,376.3308,
25,2,1,2,0.57,0,1,9.625,0,378.0806,387.7131,388.2298,1,390.288,2.0582,0.00070525,391.2128,
26,2,1,1,0.22,1,1,10.5,1,392.9627,403.4785,403.9888,0,405.6959,1.7071,0.00071184,406.9615,
27,1,1,2,0.4,1,0,11.375,1,408.7113,420.1105,420.6105,0,422.1675,1.557,0.00071038,423.5842,
28,2,1,1,0.27,1,0,10.5,1,425.3433,435.8649,436.3648,0,437.7754,1.4107,0.00070378,439.3421,
29,1,1,3,0.88,0,0,10.5,1,441.097,451.6113,452.1245,1,453.8469,1.7224,0.00071038,455.0936,
30,3,1,1,0.09,1,1,9.625,0,456.8434,466.4912,466.9911,0,468.5504,1.5594,0.00071844,469.9736,
31,3,1,2,0.44,1,1,10.5,1,471.7233,482.222,482.7218,0,484.134,1.4121,0.00070598,485.7216,
32,3,1,3,0.95,1,0,11.375,0,487.4715,498.8706,499.3706,1,500.9654,1.5949,0.00071184,502.3536,503.5886
33,2,1,3,0.75,1,0,10.5,1,504.1033,514.6025,515.1301,1,517.2211,2.0909999999999997,0.00070671,518.1021,519.3402
34,2,1,1,0.06,1,0,10.5,0,519.8623,530.3767,530.8846,0,532.3651,1.4805,0.00070818,533.8592,
35,2,1,3,0.83,0,1,9.625,0,535.6087,545.2566,545.7565,1,547.5729,1.8164,0.00071038,548.7391,
36,1,1,3,0.66,0,1,10.5,1,550.4887,561.003,561.5154,1,563.0759,1.5606,0.00070305,564.4854,
37,3,2,3,0.84,1,1,10.5,1,566.2352,576.7661,577.266,1,579.0441,1.7781,0.00070525,580.2318,581.476
38,1,2,3,0.93,0,1,10.5,0,581.9982,592.5128,593.0127,1,595.1718,2.1590000000000003,0.00071038,595.9958,
39,3,2,1,0.2,1,0,11.375,1,597.7456,609.1447,609.6447,0,611.1311,1.4864,0.00070745,612.6276,
40,3,2,2,0.41,1,1,9.625,1,614.3776,624.0219999999999,624.5219,0,626.0669,1.5451,0.00070231,627.5044,
41,1,2,2,0.59,0,1,10.5,1,629.2541,639.7755,640.2755,1,642.4348,2.1594,0.00072724,643.2509,
42,1,2,3,0.85,0,1,10.5,1,645.0083,655.5314,656.0314,1,657.6978,1.6664,0.00070598,659.0071,
43,3,2,3,0.92,1,0,11.375,1,660.7635,672.1561,672.6609,1,674.2098,1.5489,0.0007352999999999999,675.6267,676.8698
44,2,2,3,0.8,0,1,9.625,0,677.3889,687.0243,687.5408,1,689.4333,1.8925,0.00071111,690.5067,
45,1,2,2,0.37,0,1,10.5,0,692.2563,702.7707,703.2872,0,704.8493,1.5621,0.00070671,706.253,
46,1,2,3,0.8,1,1,10.5,1,708.0197,718.5355,719.0355,1,720.7130000000001,1.6774,0.00071258,722.0185,723.2522
47,2,2,2,0.62,0,1,10.5,0,723.7684,734.2842,734.7842,1,736.3843,1.6001,0.00070671,737.7671,
48,2,2,1,0.11,1,1,10.5,0,739.5289,750.0432,750.5496,0,752.1197,1.5701,0.00070745,753.5256,
49,3,2,2,0.5,1,0,11.375,0,755.2753,766.6728,767.1727,1,769.0552,1.8825,0.00070818,770.1552,771.3872
50,3,2,2,0.63,1,1,9.625,0,771.9048,781.5527,782.0526,1,783.487,1.4344,0.00071844,785.0299,786.265
51,2,2,3,0.89,0,0,11.375,1,786.7848,798.1789,798.6789,1,800.4866,1.8077,0.00070378,801.6619,
52,1,2,3,0.71,0,1,9.625,0,803.4144,813.0622,813.5621,1,815.0783,1.5162,0.00071111,816.528,
53,2,2,1,0.19,1,0,11.375,1,818.2943,829.6763,830.1762,0,831.7097,1.5335,0.00070378,833.1592,
54,2,2,2,0.46,0,0,10.5,1,834.9092,845.4416,845.9416,0,847.6293,1.6877,0.00070011,848.9205,
55,3,2,1,0.07,0,1,9.625,0,850.6745,860.307,860.818,0,862.2453,1.4273,0.00070085,863.79,
56,3,2,2,0.55,1,0,11.375,1,865.5502,876.931,877.4475,1,879.2213,1.7737,0.00073604,880.422,881.6576
57,2,2,3,0.67,1,1,9.625,1,882.1797,891.8109,892.3274,1,893.8446,1.5172,0.00070818,895.304,896.5355
58,2,2,1,0.25,0,0,11.375,1,897.0595,908.4404,908.957,0,910.1801,1.2231,0.00071258,911.9361,
59,3,2,1,0.28,1,0,10.5,1,913.6892,924.2035,924.7034,0,926.0360000000001,1.3326,0.00070891,927.686,
60,1,2,1,0.32,0,1,9.625,0,929.4356,939.067,939.5669,0,941.1074,1.5405,0.00070671,942.55,
61,3,2,3,0.68,1,1,10.5,1,944.3166,954.8325,955.3325,1,956.8754,1.5429,0.00070378,958.3154,959.5481
62,1,2,1,0.07,0,1,10.5,0,960.0653,970.5811,971.081,0,972.7144,1.6334,0.00070451,974.064,
63,2,2,2,0.54,1,0,11.375,0,975.814,987.2131,987.7131,1,989.0982,1.3851,0.00070745,990.6961,991.9296
64,2,2,3,0.75,1,0,10.5,0,992.4458,1002.9521,1003.4785,1,1004.8898,1.4114,0.00071404,1006.4514,1007.6843
65,1,2,1,0.23,0,1,9.625,0,1008.201,1017.8488,1018.3487,0,1019.7294,1.3807,0.00070745,1021.3312,
66,1,2,2,0.5,0,1,10.5,0,1023.0809,1033.5952,1034.1092,1,1035.9454,1.8362,0.00071111,1037.0777,
67,3,2,1,0.14,1,0,11.375,0,1038.8273,1050.2248,1050.7247,0,1052.0807,1.3559999999999999,0.00070818,1053.7075,
68,2,2,1,0.32,0,1,9.625,0,1055.4574,1065.1066,1065.6066,0,1067.0723,1.4657,0.00070451,1068.5872,
69,1,2,2,0.45,0,0,11.375,1,1070.3395,1081.7218,1082.2342,0,1083.8162,1.5819999999999999,0.00070891,1085.2049,
70,2,2,2,0.38,1,0,10.5,0,1086.9664,1097.4807,1097.9872,0,1099.8399,1.8528,0.00070598,1100.9631,
71,3,2,3,0.76,1,1,9.625,0,1102.7128,1112.3606,1112.8693,1,1114.3754,1.5061,0.00070671,1115.843,1117.0767
72,1,2,1,0.16,0,0,11.375,0,1117.5927,1128.9846,1129.4901,0,1130.7513,1.2612,0.00070525,1132.4726,
73,3,3,2,0.39,1,1,9.625,0,1134.2223,1143.8701,1144.37,0,1145.807,1.4369999999999998,0.00072504,1147.3497,
74,2,3,1,0.24,1,1,10.5,0,1149.1022,1159.5998,1160.1164,0,1161.6781,1.5617,0.00070818,1163.099,
75,2,3,3,0.86,0,0,11.375,0,1164.8486,1176.2473,1176.7473,1,1178.1659,1.4186,0.00070671,1179.7302,
76,1,3,2,0.56,0,1,9.625,0,1181.4802,1191.1261,1191.6259,1,1193.4294,1.8035,0.00070745,1194.5956,
77,3,3,3,0.81,1,1,10.5,0,1196.3581,1206.8724,1207.3781,1,1208.5969,1.2188,0.00070451,1210.3549,1211.5899
78,2,3,3,0.94,0,1,10.5,0,1212.1109,1222.6268,1223.1354,1,1224.4285,1.2931,0.00071038,1226.1097,
79,2,3,2,0.51,1,0,11.375,1,1227.8596,1239.2587,1239.7587,1,1241.4445,1.6858,0.00069792,1242.7308,1243.9704
80,3,3,1,0.33,1,1,9.625,0,1244.4916,1254.1283,1254.6408,0,1256.2279,1.5872,0.00070745,1257.6107,
81,1,3,2,0.42,0,0,11.375,0,1259.3604,1270.7412,1271.2577,0,1272.6117,1.354,0.00070525,1274.2402,
82,1,3,3,0.69,0,0,10.5,0,1275.9899,1286.5048,1287.0214,1,1288.3554,1.334,0.00070451,1289.9877,
83,2,3,3,0.72,0,0,10.5,0,1291.7377,1302.2701,1302.7701,1,1303.8511,1.081,0.00070671,1305.7498,
84,1,3,1,0.12,0,0,10.5,1,1307.503,1318.0188,1318.5188,0,1319.9949,1.4761,0.00070671,1321.4961,
85,3,3,2,0.55,1,0,10.5,1,1323.2517,1333.7675,1334.2767,1,1335.8024,1.5257,0.00070525,1337.2505,1338.4857
86,1,3,1,0.21,0,0,10.5,1,1339.0003,1349.5329,1350.0328,0,1351.4095,1.3767,0.00070745,1353.0056,
87,3,3,2,0.47,1,0,10.5,0,1354.7553,1365.2815,1365.7862,0,1367.2733,1.4871,0.00071918,1368.7521,
88,3,3,1,0.12,1,1,9.625,1,1370.5144,1380.1496,1380.6495,0,1382.0812,1.4317,0.00070745,1383.632,
89,2,3,1,0.17,1,1,10.5,1,1385.3817,1395.8792,1396.4125,0,1397.8405,1.4279,0.00071331,1399.3785,
90,1,3,2,0.64,0,0,11.375,0,1401.1286,1412.5276,1413.0421,1,1414.3365,1.2944,0.00070378,1416.0105,
91,1,3,1,0.05,0,0,10.5,0,1417.7604,1428.2886,1428.7929,0,1430.5361,1.7432,0.00070818,1431.7592,
92,1,3,3,0.85,0,1,9.625,0,1433.5206,1443.1583,1443.6684,1,1445.0955,1.4271,0.00070818,1446.6412,
93,1,3,1,0.29,0,1,10.5,0,1448.3911,1458.9071,1459.4069,0,1460.743,1.3362,0.00070671,1462.3973,
94,1,3,3,0.77,1,0,11.375,0,1464.1470000000002,1475.5445,1476.0444,1,1477.1667,1.1223,0.00070671,1479.027,1480.259
