Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11375,10.5705,11.1215,1,11.9141,0.79265,0.00032403,14.0288,
2,2,1,1,0.13,0,1,9.625,0,15.7935,25.408,25.9246,1,26.3939,0.46931999999999996,0.0004164,28.9073,
3,2,1,3,0.91,1,0,11.375,1,30.6594,42.0543,42.5679,1,43.2094,0.64157,0.00026099,45.5367,46.7707
4,3,1,1,0.15,1,1,9.625,1,47.2863,56.9342,57.434,1,58.696999999999996,1.263,0.00032037,60.4166,61.6469
5,1,1,2,0.61,0,1,10.5,0,62.1662,72.69,73.1901,1,74.0488,0.85867,0.00029837,76.1631,
6,3,1,1,0.31,1,0,11.375,0,77.9126,89.3101,89.81,1,90.6244,0.8143600000000001,0.00027491,92.7951,94.0266
7,3,1,3,0.79,1,0,10.5,0,94.5471,105.0732,105.5595,1,106.1686,0.6092,0.00082987,108.5459,109.7811
8,1,1,1,0.1,0,0,10.5,0,110.3147,120.8196,121.32700000000001,0,122.7915,1.4645,0.00021919999999999996,124.3021,
9,3,1,2,0.58,1,1,9.625,0,126.0517,135.6827,136.1994,1,138.3352,2.1358,0.0003145,139.18,140.4129
10,3,1,2,0.36,1,0,11.375,1,140.9321,152.3291,152.8123,1,153.8069,0.99461,0.00029691,155.7985,157.0414
11,1,1,3,0.82,0,0,10.5,1,157.5611,168.079,168.5796,1,169.6544,1.0748,0.00021993,171.558,
12,3,1,1,0.22,1,0,10.5,1,173.3076,183.8298,184.3385,0,186.1181,1.7797,0.00027345,187.3169,
13,3,1,3,0.87,0,0,10.5,1,189.0689,199.5849,200.0849,1,202.1817,2.0968,0.00031597,203.0678,
14,1,1,2,0.45,0,0,10.5,0,204.8198,215.3315,215.8321,1,216.638,0.8059,0.00080568,218.8186,
15,2,1,3,0.7,0,1,9.625,0,220.5706,230.2113,230.7154,1,231.373,0.65768,0.00034603,233.6937,
16,1,1,1,0.27,0,1,10.5,1,235.4434,245.9656,246.4743,0,248.3566,1.8823,0.00027345,249.4401,
17,2,1,2,0.4,0,0,11.375,0,251.1899,262.5872,263.0871,1,264.0129,0.9258,0.000857,266.0712,
18,1,1,1,0.18,0,0,10.5,1,267.8233,278.3503,278.8523,1,280.0679,1.2156,0.00026392,281.8221,
19,1,1,3,0.74,0,0,10.5,0,283.5741,294.0967,294.5863,1,295.3795,0.79319,0.00025145,297.5791,
20,3,1,2,0.52,1,0,10.5,1,299.3288,309.8534,310.35400000000004,1,311.3712,1.0172,0.00029544,313.3255,314.5645
21,1,1,1,0.34,0,1,9.625,0,315.07599999999996,324.7231,325.223,1,325.8668,0.64386,0.00027491,328.207,
22,3,1,3,0.7,1,0,11.375,1,329.959,341.3551,341.8557,1,342.5545,0.6987899999999999,0.00030131,344.8351,346.0709
23,2,1,2,0.65,0,1,9.625,0,346.5847,356.2383,356.7324,1,357.3463,0.61383,0.00039148,359.7151,
24,2,1,2,0.49,1,0,11.375,1,361.4646,372.8568,373.36199999999997,1,374.1699,0.80786,0.00037388,376.3445,377.5754
25,2,1,2,0.57,0,1,9.625,0,378.0959,387.7254,388.2419,1,388.8176,0.5756399999999999,0.00041787,391.2105,
26,2,1,1,0.22,1,1,10.5,1,392.9741,403.4742,403.9915,1,405.5772,1.5857,0.00069058,406.9708,408.2069
27,1,1,2,0.4,1,0,11.375,1,408.73,420.1094,420.6099,1,421.3367,0.7267899999999999,0.00034822,423.6005,424.8342
28,2,1,1,0.27,1,0,10.5,1,425.3501,435.8603,436.3643,1,437.1762,0.81188,0.00025952,439.3473,440.5877
29,1,1,3,0.88,0,0,10.5,1,441.0993,451.6111,452.1117,1,452.89599999999996,0.7842899999999999,0.00034969,455.11,
30,3,1,1,0.09,1,1,9.625,0,456.8595,466.4943,466.9907,0,468.4874,1.4968,0.00031157,469.9815,
31,3,1,2,0.44,1,1,10.5,1,471.7334,482.2372,482.7458,1,484.0151,1.2693,0.00027125,485.7362,486.9716
32,3,1,3,0.95,1,0,11.375,0,487.4859,498.8667,499.3666,1,500.3351,0.96854,0.00053003,502.3657,503.5987
33,2,1,3,0.75,1,0,10.5,1,504.1195,514.6145,515.1151,1,516.2474,1.1323,0.0011539000000000002,518.1183,519.3519
34,2,1,1,0.06,1,0,10.5,0,519.8703,530.3821,530.8761,1,532.4703,1.5942,0.00050511,533.8692,535.1061
35,2,1,3,0.83,0,1,9.625,0,535.6249,545.2561,545.756,1,546.6296,0.87356,0.00031889999999999995,548.7386,
36,1,1,3,0.66,0,1,10.5,1,550.5049,561.0025,561.5024,1,562.4373,0.93489,0.00027491,564.5034,
37,3,2,3,0.84,1,1,10.5,1,566.2553,576.7503,577.2509,1,577.9579,0.70695,0.0012205999999999999,580.2542,581.4896
38,1,2,3,0.93,0,1,10.5,0,582.0061,592.512,593.0119,1,593.7806,0.76874,0.00042887,596.0051,
39,3,2,1,0.2,1,0,11.375,1,597.7608,609.1415,609.6414,1,610.8443,1.2029,0.00036582,612.6239,613.8687
40,3,2,2,0.41,1,1,9.625,1,614.3922,624.0047,624.5213,1,625.3157,0.7944,0.00029031,627.5068,628.7481
41,1,2,2,0.59,0,1,10.5,1,629.2702,639.7705,640.271,1,641.1155,0.84447,0.00030789999999999995,643.2669999999999,
42,1,2,3,0.85,0,1,10.5,1,645.0165,655.5142,656.0218,1,656.7881,0.7662800000000001,0.0011979,659.0135,
43,3,2,3,0.92,1,0,11.375,1,660.763,672.1438,672.6438,1,673.2588,0.61505,0.00034529,675.6435,676.882
44,2,2,3,0.8,0,1,9.625,0,677.3956,687.0238,687.5235,1,688.0508,0.52725,0.00058502,690.5268,
45,1,2,2,0.37,0,1,10.5,0,692.2788,702.7739,703.2744,1,705.5779,2.3035,0.00028005,706.2776,
46,1,2,3,0.8,1,1,10.5,1,708.0297,718.5333,719.0332,1,720.0417,1.0086,0.00035482,722.0323,723.2629
47,2,2,2,0.62,0,1,10.5,0,723.7819999999999,734.2797,734.7796,1,736.0974,1.3179,0.0004164,737.7794,
48,2,2,1,0.11,1,1,10.5,0,739.5314,750.0263,750.5269,1,751.1208,0.59388,0.00064953,753.5302,754.7685
49,3,2,2,0.5,1,0,11.375,0,755.2915,766.6783,767.1622,1,767.7127,0.55052,0.00056522,770.1653,771.3966
50,3,2,2,0.63,1,1,9.625,0,771.921,781.5449,782.0454,1,782.7361,0.69065,0.00031963,785.0347,786.2762
51,2,2,3,0.89,0,0,11.375,1,786.7845,798.1651,798.6817,1,799.3919,0.71022,0.00037535,801.6671,
52,1,2,3,0.71,0,1,9.625,0,803.4191,813.0466,813.5616,1,814.2238,0.66217,0.00055056,816.5504,
53,2,2,1,0.19,1,0,11.375,1,818.3024,829.6817,830.1823,0,831.9279,1.7456,0.0011216,833.1737,
54,2,2,2,0.46,0,0,10.5,1,834.9233,845.4376,845.9375,1,846.9347,0.99718,0.00044793,848.9201,
55,3,2,1,0.07,0,1,9.625,0,850.6717,860.3176,860.8175,0,862.2144,1.3969,0.00035336,863.8029,
56,3,2,2,0.55,1,0,11.375,1,865.5549,876.9471,877.4516,1,878.8539999999999,1.4024,0.00062974,880.4296,881.6673
57,2,2,3,0.67,1,1,9.625,1,882.1792,891.8271,892.327,1,892.9814,0.6544800000000001,0.0003123,895.3095,896.5447
58,2,2,1,0.25,0,0,11.375,1,897.0591,908.4566,908.9565,1,909.685,0.72851,0.00020747,911.9399,
59,3,2,1,0.28,1,0,10.5,1,913.6918,924.2036,924.7042,1,925.5094,0.80529,0.000857,927.6907,928.9274
60,1,2,1,0.32,0,1,9.625,0,929.4427,939.0868,939.5874,1,940.3167,0.72935,0.00048458,942.5739,
61,3,2,3,0.68,1,1,10.5,1,944.3259,954.846,955.3486,1,956.1164,0.76778,0.00045233,958.3285,959.5593
62,1,2,1,0.07,0,1,10.5,0,960.0781,970.5924,971.0923,0,972.1397,1.0474,0.00029764,974.0757,
63,2,2,2,0.54,1,0,11.375,0,975.8276,987.2237,987.7243,1,988.5793,0.85506,0.00028298,990.7045,991.9405
64,2,2,3,0.75,1,0,10.5,0,992.4628,1002.9684,1003.485,1,1003.9389,0.45395,0.00027638,1006.4616,1007.695
65,1,2,1,0.23,0,1,9.625,0,1008.2171,1017.8578,1018.3649,1,1018.9947,0.62985,0.00037608,1021.3308,
66,1,2,2,0.5,0,1,10.5,0,1023.0804,1033.6114,1034.1113,1,1035.0824,0.97116,0.00045672,1037.0938,
67,3,2,1,0.14,1,0,11.375,0,1038.8435,1050.2438,1050.7444,0,1051.6657,0.9213,0.00020527,1053.7233,
68,2,2,1,0.32,0,1,9.625,0,1055.473,1065.1209,1065.6208,1,1066.2976,0.67687,0.00034603,1068.5975,
69,1,2,2,0.45,0,0,11.375,1,1070.3494,1081.7288,1082.2337,1,1083.049,0.8153100000000001,0.00036802,1085.2162,
70,2,2,2,0.38,1,0,10.5,0,1086.9679,1097.4801,1097.997,1,1098.6167,0.6197199999999999,0.00031597,1100.9792,1102.2109
71,3,2,3,0.76,1,1,9.625,0,1102.7289,1112.36,1112.8802,1,1113.5283,0.64815,0.00025732,1115.8501,1117.0877
72,1,2,1,0.16,0,0,11.375,0,1117.6089,1129.0063,1129.5062,1,1130.3202,0.81398,0.00040467,1132.4852,
73,3,3,2,0.39,1,1,9.625,0,1134.2384,1143.8695,1144.3694,1,1145.0399,0.6705800000000001,0.00052857,1147.3519999999999,1148.5931
74,2,3,1,0.24,1,1,10.5,0,1149.1038,1159.616,1160.1327,1,1160.6953,0.5625600000000001,0.00042813,1163.115,1164.3478
75,2,3,3,0.86,0,0,11.375,0,1164.8647,1176.2454,1176.7621,1,1177.2788,0.51676,0.0003167,1179.7377,
76,1,3,2,0.56,0,1,9.625,0,1181.4943,1191.1339,1191.642,1,1192.2467,0.60464,0.00035042,1194.6211,
77,3,3,3,0.81,1,1,10.5,0,1196.3742,1206.8719,1207.3884,1,1208.3821,0.9936799999999999,0.00031889999999999995,1210.3719,1211.6045
78,2,3,3,0.94,0,1,10.5,0,1212.1238,1222.6356,1223.1362,1,1223.6858,0.54965,0.00035482,1226.1227,
79,2,3,2,0.51,1,0,11.375,1,1227.8747,1239.2708,1239.7643,1,1240.5095,0.7452300000000001,0.00047798,1242.7468,1243.9859
80,3,3,1,0.33,1,1,9.625,0,1244.4966,1254.1445,1254.6546,1,1255.3571,0.7024699999999999,0.00029691,1257.6269,1258.8639
81,1,3,2,0.42,0,0,11.375,0,1259.3764,1270.774,1271.2738,1,1271.9249,0.65117,0.00046552,1274.2595,
82,1,3,3,0.69,0,0,10.5,0,1276.0116,1286.5234,1287.0239,1,1287.5963,0.57239,0.00029544,1290.0104,
83,2,3,3,0.72,0,0,10.5,0,1291.7625,1302.2834,1302.7915,1,1303.9798,1.1883,0.00021847,1305.7659,
84,1,3,1,0.12,0,0,10.5,1,1307.5155,1318.0298,1318.5423,1,1319.8276,1.2853,0.00039368,1321.5122,
85,3,3,2,0.55,1,0,10.5,1,1323.2642,1333.7762,1334.2932,1,1335.2278,0.93458,0.00090538,1337.2629,1338.5011
86,1,3,1,0.21,0,0,10.5,1,1339.0151,1349.5435,1350.0439999999999,1,1350.9234,0.87936,0.00089659,1353.0218,
87,3,3,2,0.47,1,0,10.5,0,1354.7714,1365.2943,1365.7949,1,1366.4029999999998,0.6080800000000001,0.00083574,1368.7681,1370.0077
88,3,3,1,0.12,1,1,9.625,1,1370.5178,1380.1657,1380.6781,1,1381.8819,1.2038,0.00020674,1383.648,1384.886
89,2,3,1,0.17,1,1,10.5,1,1385.4,1395.9121,1396.4289999999999,1,1397.0577,0.62875,0.00032037,1399.3988,1400.6407
90,1,3,2,0.64,0,0,11.375,0,1401.1608,1412.5583,1413.0582,1,1413.6493,0.59113,0.00027418,1416.0407,
91,1,3,1,0.05,0,0,10.5,0,1417.7904,1428.3047,1428.8046,0,1430.0811,1.2765,0.00033796,1431.7872,
92,1,3,3,0.85,0,1,9.625,0,1433.5368,1443.1846,1443.6845,1,1444.9047,1.2202,0.00035629,1446.6682,
93,1,3,1,0.29,0,1,10.5,0,1448.4201,1458.9318,1459.4491,1,1460.2804,0.83129,0.00035556,1462.4189,
94,1,3,3,0.77,1,0,11.375,0,1464.1709,1475.567,1476.0676,1,1476.8077,0.74011,0.00032037,1479.0431,1480.2784
95,3,3,1,0.17,1,0,10.5,0,1480.7927,1491.3179,1491.8184,1,1492.9915,1.1731,0.00028151,1494.7894,1496.0332
96,2,3,3,0.78,1,1,9.625,0,1496.557,1506.2011,1506.7017,1,1507.1917,0.49006000000000005,0.00090465,1509.6715,1510.9105
97,2,3,2,0.43,1,1,10.5,0,1511.4235,1521.9519,1522.4525,1,1522.9826,0.53009,0.00020454,1525.4325,1526.6652
98,3,3,3,0.65,1,1,10.5,0,1527.1821,1537.7028,1538.2034,1,1538.9583,0.75498,0.00038928,1541.1788,1542.4183
