Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11483,10.5624,11.1297,1,12.793,1.6632,0.00068178,14.0321,
2,2,1,1,0.13,0,1,9.625,0,15.7815,25.4254,25.9253,0,28.2404,2.3151,0.00068104,28.9078,
3,2,1,3,0.91,1,0,11.375,1,30.6574,42.0547,42.5661,1,44.5436,1.9776,0.00066418,45.537,46.7714
4,3,1,1,0.15,1,1,9.625,1,47.2867,56.9344,57.4347,0,59.2552,1.8205,0.00066712,60.4169,
5,1,1,2,0.61,0,1,10.5,0,62.1664,72.6637,73.1805,1,74.5986,1.4181,0.00066418,76.1629,
6,3,1,1,0.31,1,0,11.375,0,77.9126,89.3166,89.8168,0,91.2702,1.4534,0.00066712,92.7922,
7,3,1,3,0.79,1,0,10.5,0,94.5419,105.0574,105.5576,0,106.7656,1.208,0.00066418,108.5423,
8,1,1,1,0.1,0,0,10.5,0,110.3099,120.8189,121.3188,1,122.0533,0.73451,0.00066345,124.2997,
9,3,1,2,0.58,1,1,9.625,0,126.0509,135.68200000000002,136.1817,0,137.5244,1.3426,0.00066565,139.1737,
10,3,1,2,0.36,1,0,11.375,1,140.9244,152.2966,152.8135,0,154.1396,1.3261,0.00066858,155.7982,
11,1,1,3,0.82,0,0,10.5,1,157.5489,168.0573,168.574,1,169.49099999999999,0.91707,0.00066345,171.5564,
12,3,1,1,0.22,1,0,10.5,1,173.3065,183.8283,184.3285,0,185.4508,1.1223,0.00066492,187.3026,
13,3,1,3,0.87,0,0,10.5,1,189.0521,199.5523,200.0692,1,201.0903,1.0212,0.00068911,203.0539,
14,1,1,2,0.45,0,0,10.5,0,204.8049,215.3293,215.8292,1,216.6492,0.82,0.00066931,218.8116,
15,2,1,3,0.7,0,1,9.625,0,220.5623,230.209,230.7089,1,231.6007,0.8917799999999999,0.00073749,233.6851,
16,1,1,1,0.27,0,1,10.5,1,235.44099999999997,245.9579,246.4581,1,247.2962,0.8381799999999999,0.00067665,249.4427,
17,2,1,2,0.4,0,0,11.375,0,251.1936,262.5845,263.0676,0,264.2076,1.14,0.00065978,266.0673,
18,1,1,1,0.18,0,0,10.5,1,267.8182,278.3399,278.8402,1,279.6228,0.78256,0.00066198,281.813,
19,1,1,3,0.74,0,0,10.5,0,283.5627,294.0935,294.5977,1,295.246,0.64825,0.00068911,297.5657,
20,3,1,2,0.52,1,0,10.5,1,299.3256,309.8397,310.3396,0,311.606,1.2665,0.00067371,313.3231,
21,1,1,1,0.34,0,1,9.625,0,315.0741,324.7194,325.2193,1,325.9813,0.7619600000000001,0.00066198,328.2017,
22,3,1,3,0.7,1,0,11.375,1,329.9514,341.3533,341.8486,1,342.8687,1.0202,0.00066712,344.8216,346.0618
23,2,1,2,0.65,0,1,9.625,0,346.5807,356.2284,356.7283,1,357.668,0.9397399999999999,0.00066931,359.6953,
24,2,1,2,0.49,1,0,11.375,1,361.4628,372.8516,373.3409,1,374.7074,1.3665,0.00066638,376.3364,377.5671
25,2,1,2,0.57,0,1,9.625,0,378.0897,387.7254,388.2256,1,389.2027,0.97703,0.00066565,391.2102,
26,2,1,1,0.22,1,1,10.5,1,392.9611,403.4836,403.9835,0,404.9464,0.9628700000000001,0.00066345,406.9661,
27,1,1,2,0.4,1,0,11.375,1,408.7186,420.11300000000006,420.6077,0,421.5854,0.9776799999999999,0.00067078,423.5923,
28,2,1,1,0.27,1,0,10.5,1,425.3449,435.8591,436.35900000000004,0,437.905,1.546,0.00066712,439.3414,
29,1,1,3,0.88,0,0,10.5,1,441.0911,451.6058,452.106,1,453.4486,1.3425,0.00066345,455.0906,
30,3,1,1,0.09,1,1,9.625,0,456.8416,466.485,466.9849,0,468.3354,1.3505,0.00096402,469.9673,
31,3,1,2,0.44,1,1,10.5,1,471.717,482.2312,482.7373,0,483.8315,1.0942,0.00066638,485.722,
32,3,1,3,0.95,1,0,11.375,0,487.4798,498.8616,499.3604,1,500.4144,1.054,0.00066418,502.3466,503.5859
33,2,1,3,0.75,1,0,10.5,1,504.1091,514.6066,515.1065,1,515.9501,0.84357,0.00066492,518.1056,519.3406
34,2,1,1,0.06,1,0,10.5,0,519.8553,530.36,530.8694,0,532.0457,1.1762,0.00066052,533.8616,
35,2,1,3,0.83,0,1,9.625,0,535.6124,545.2337,545.734,1,546.7005,0.9665299999999999,0.00066565,548.7354,
36,1,1,3,0.66,0,1,10.5,1,550.4862,560.9955,561.4953,1,562.4118,0.91653,0.00068031,564.4776,
37,3,2,3,0.84,1,1,10.5,1,566.2274,576.7415,577.249,1,578.3475,1.0985,0.00066345,580.2405,581.4757
