Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11852,10.5675,11.1179,1,12.3287,1.2108,0.00066858,14.0351,
2,2,1,1,0.13,0,1,9.625,0,15.7836,25.4288,25.916,1,27.0325,1.1165,0.00066712,28.899,
3,2,1,3,0.91,1,0,11.375,1,30.6655,42.0581,42.5759,1,43.504,0.92816,0.00064805,45.5307,46.7711
4,3,1,1,0.15,1,1,9.625,1,47.2901,56.9379,57.4377,1,58.3036,0.8659,0.00064219,60.4124,61.6472
5,1,1,2,0.61,0,1,10.5,0,62.1698,72.684,73.1947,1,74.0945,0.8998,0.00064366,76.1663,
6,3,1,1,0.31,1,0,11.375,0,77.916,89.3133,89.8132,1,90.7659,0.9527399999999999,0.00065172,92.7956,94.0274
7,3,1,3,0.79,1,0,10.5,0,94.5453,105.0595,105.5748,1,106.4535,0.8786299999999999,0.00064879,108.5418,109.7804
8,1,1,1,0.1,0,0,10.5,0,110.3081,120.8233,121.3233,1,122.2367,0.91345,0.00064805,124.2895,
9,3,1,2,0.58,1,1,9.625,0,126.0561,135.702,136.1885,1,136.9883,0.7998,0.00064512,139.1715,140.41299999999998
10,3,1,2,0.36,1,0,11.375,1,140.9341,152.3313,152.8312,1,153.6838,0.85254,0.00064439,155.8032,157.0404
11,1,1,3,0.82,0,0,10.5,1,157.5633,168.0854,168.5853,1,169.4033,0.818,0.00067445,171.56,
12,3,1,1,0.22,1,0,10.5,1,173.3096,183.8338,184.3338,1,185.1226,0.78883,0.00063999,187.3061,188.5458
13,3,1,3,0.87,0,0,10.5,1,189.0666,199.5865,200.0864,1,200.9618,0.87539,0.00063999,203.0652,
14,1,1,2,0.45,0,0,10.5,0,204.8185,215.3326,215.8158,1,216.737,0.9212100000000001,0.00064146,218.8152,
15,2,1,3,0.7,0,1,9.625,0,220.5647,230.1959,230.7125,1,231.4968,0.78428,0.00064805,233.6954,
16,1,1,1,0.27,0,1,10.5,1,235.4453,245.9615,246.4584,1,247.2081,0.7497,0.00064659,249.4439,
17,2,1,2,0.4,0,0,11.375,0,251.1938,262.5927,263.0926,1,264.0157,0.92306,0.00063852,266.0757,
18,1,1,1,0.18,0,0,10.5,1,267.8253,278.3244,278.8506,1,279.6311,0.78045,0.00064366,281.824,
19,1,1,3,0.74,0,0,10.5,0,283.5739,294.0896,294.5968,1,295.3264,0.7296100000000001,0.00064292,297.5793,
20,3,1,2,0.52,1,0,10.5,1,299.3288,309.8263,310.3428,1,311.1578,0.81496,0.00064586,313.3254,314.5643
21,1,1,1,0.34,0,1,9.625,0,315.0875,324.7228,325.2227,1,326.0211,0.7984100000000001,0.00065172,328.2051,
22,3,1,3,0.7,1,0,11.375,1,329.955,341.3521,341.8515,1,342.6283,0.77684,0.00064586,344.8346,346.0715
23,2,1,2,0.65,0,1,9.625,0,346.5844,356.2335,356.7335,1,357.5238,0.7902899999999999,0.00064292,359.7165,
24,2,1,2,0.49,1,0,11.375,1,361.4663,372.8611,373.361,1,374.0432,0.6822199999999999,0.00072283,376.3434,377.5756
25,2,1,2,0.57,0,1,9.625,0,378.098,387.7409,388.2471,1,389.0983,0.8512,0.00064366,391.2233,
26,2,1,1,0.22,1,1,10.5,1,392.9729,403.4955,403.9955,1,404.754,0.75846,0.00064952,406.9695,408.2061
27,1,1,2,0.4,1,0,11.375,1,408.7283,420.1163,420.6272,1,421.4651,0.8378399999999999,0.00065319,423.5987,424.8341
28,2,1,1,0.27,1,0,10.5,1,425.3484,435.8757,436.3791,1,437.3208,0.94178,0.00066272,439.345,440.5896
29,1,1,3,0.88,0,0,10.5,1,441.1112,451.6254,452.1253,1,453.088,0.96275,0.00064146,455.1076,
30,3,1,1,0.09,1,1,9.625,0,456.8574,466.506,467.006,1,467.8556,0.8495799999999999,0.00064512,469.9888,471.2212
31,3,1,2,0.44,1,1,10.5,1,471.7388,482.2513,482.7545,1,483.7348,0.98029,0.00064879,485.7374,486.9741
32,3,1,3,0.95,1,0,11.375,0,487.4872,498.8695,499.3971,1,500.1581,0.76105,0.00064366,502.369,503.6018
33,2,1,3,0.75,1,0,10.5,1,504.1189,514.6434,515.1433,1,516.0539,0.91065,0.00065465,518.1176,519.3556
34,2,1,1,0.06,1,0,10.5,0,519.8754,530.3896,530.8997,1,531.877,0.97736,0.00064732,533.8721,535.111
35,2,1,3,0.83,0,1,9.625,0,535.6325,545.2693,545.7692,1,546.7008,0.9315899999999999,0.00064879,548.7517,
36,1,1,3,0.66,0,1,10.5,1,550.5013,561.0155,561.5321,1,562.2442,0.71214,0.00064732,564.4978,
37,3,2,3,0.84,1,1,10.5,1,566.2475,576.7617,577.2785,1,578.0837,0.80525,0.00064219,580.2613,581.4941
38,1,2,3,0.93,0,1,10.5,0,582.0113,592.5269999999999,593.0269,1,593.8989,0.872,0.00064292,596.0098,
39,3,2,1,0.2,1,0,11.375,1,597.7597,609.1587,609.6587,1,610.746,1.0874,0.00064952,612.6416,613.8723
40,3,2,2,0.41,1,1,9.625,1,614.3914,624.0405,624.5405,1,625.3135,0.77304,0.00063266,627.5159,628.7511
41,1,2,2,0.59,0,1,10.5,1,629.2733,639.789,640.2962,1,641.1211,0.8249,0.00064366,643.2719,
42,1,2,3,0.85,0,1,10.5,1,645.0217,655.5425,656.0424,1,656.8563,0.81384,0.00064072,659.0248,
43,3,2,3,0.92,1,0,11.375,1,660.7744,672.1718,672.6717,1,673.5756,0.9038799999999999,0.00064146,675.6543,676.8847
44,2,2,3,0.8,0,1,9.625,0,677.4039,687.0515,687.5514,1,688.3834,0.83193,0.00064586,690.5172,
45,1,2,2,0.37,0,1,10.5,0,692.2837,702.7827,703.2994,1,704.2867,0.9872200000000001,0.00065025,706.2824,
46,1,2,3,0.8,1,1,10.5,1,708.0322,718.5439,719.0645,1,720.0382,0.9736899999999999,0.00064659,722.0307,723.2679
47,2,2,2,0.62,0,1,10.5,0,723.7808,734.2963,734.7963,1,735.5656,0.76931,0.00064219,737.789,
