Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11857999999999999,10.5736,11.1242,1,12.4088,1.2847,0.0007067,14.0405,
2,2,1,1,0.13,0,1,9.625,0,15.7887,25.4197,25.9309,0,27.2963,1.3654,0.00069864,28.9021,
3,2,1,3,0.91,1,0,11.375,1,30.6684,42.0552,42.5772,1,44.2554,1.6782,0.00068691,45.5401,46.7726
4,3,1,1,0.15,1,1,9.625,1,47.291000000000004,56.928999999999995,57.4293,0,58.6632,1.2339,0.00068251,60.413999999999994,
5,1,1,2,0.61,0,1,10.5,0,62.1648,72.6917,73.1915,1,74.6464,1.4549,0.00068398,76.1572,
6,3,1,1,0.31,1,0,11.375,0,77.9071,89.3111,89.8113,1,92.4605,2.6492,0.0023276,92.7959,94.0263
7,3,1,3,0.79,1,0,10.5,0,94.5469,105.0686,105.5689,1,106.8207,1.2518,0.00068471,108.5494,109.779
8,1,1,1,0.1,0,0,10.5,0,110.3044,120.8261,121.3131,0,123.4603,2.1471,0.00068031,124.2956,
9,3,1,2,0.58,1,1,9.625,0,126.0452,135.69299999999998,136.2001,1,139.1562,2.9560000000000004,0.00069131,139.1753,140.4096
10,3,1,2,0.36,1,0,11.375,1,140.925,152.3245,152.8247,0,155.2351,2.4104,0.00069204,155.8046,
11,1,1,3,0.82,0,0,10.5,1,157.5602,168.082,168.585,1,170.2502,1.6652,0.00069791,171.5507,
12,3,1,1,0.22,1,0,10.5,1,173.3011,183.8313,184.3312,0,186.1701,1.8389,0.00070304,187.3078,
13,3,1,3,0.87,0,0,10.5,1,189.0633,199.5803,200.0805,1,201.68900000000002,1.6085,0.00070597,203.0598,
14,1,1,2,0.45,0,0,10.5,0,204.8161,215.3241,215.8235,1,217.2091,1.3855,0.00075215,218.8061,
15,2,1,3,0.7,0,1,9.625,0,220.5569,230.2116,230.7032,1,231.7605,1.0573,0.00070157,233.6858,
16,1,1,1,0.27,0,1,10.5,1,235.4473,245.96900000000002,246.4661,1,247.8316,1.3655,0.00068838,249.4372,
17,2,1,2,0.4,0,0,11.375,0,251.1982,262.5621,263.0954,1,264.9828,1.8874,0.00068618,266.0618,
18,1,1,1,0.18,0,0,10.5,1,267.8127,278.3417,278.8416,1,280.4062,1.5646,0.00067958,281.8241,
19,1,1,3,0.74,0,0,10.5,0,283.5736,294.092,294.5876,1,295.7815,1.1938,0.00068324,297.5768,
20,3,1,2,0.52,1,0,10.5,1,299.3278,309.8507,310.334,0,312.3893,2.0553,0.00068104,313.3178,
21,1,1,1,0.34,0,1,9.625,0,315.0827,324.7304,325.2235,1,326.7166,1.4931,0.00068838,328.2081,
22,3,1,3,0.7,1,0,11.375,1,329.959,341.3478,341.8481,1,343.0517,1.2037,0.00068618,344.8326,346.0663
23,2,1,2,0.65,0,1,9.625,0,346.5836,356.2228,356.7394,1,357.8516,1.1122,0.00067884,359.7065,
24,2,1,2,0.49,1,0,11.375,1,361.4574,372.8629,373.352,1,374.4266,1.0746,0.00069351,376.3344,377.5705
25,2,1,2,0.57,0,1,9.625,0,378.0841,387.7366,388.2368,1,389.1219,0.88508,0.0007001,391.2142,
26,2,1,1,0.22,1,1,10.5,1,392.9638,403.478,403.9779,0,406.0415,2.0636,0.00069351,406.9622,
