Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.049193,10.5665,11.0836,1,11.9269,0.84334,0.00029837,14.0339,
2,2,1,1,0.13,0,1,9.625,0,15.7834,25.4274,25.9129,0,26.8549,0.9420200000000001,0.0005315000000000001,28.8979,
3,2,1,3,0.91,1,0,11.375,1,30.6498,42.028999999999996,42.575,1,43.3582,0.7831899999999999,0.00036215,45.5328,46.7674
4,3,1,1,0.15,1,1,9.625,1,47.2849,56.9289,57.4295,0,58.4382,1.0087,0.00081301,60.4047,
5,1,1,2,0.61,0,1,10.5,0,62.1545,72.6853,73.1851,1,74.5009,1.3158,0.00027198,76.15100000000001,
6,3,1,1,0.31,1,0,11.375,0,77.9173,89.29799999999999,89.8153,0,91.1086,1.2933,0.00045379,92.7851,
7,3,1,3,0.79,1,0,10.5,0,94.5371,105.0609,105.5492,1,106.3881,0.8388899999999999,0.00026025,108.5433,109.7777
8,1,1,1,0.1,0,0,10.5,0,110.3097,120.8072,121.3168,0,122.2357,0.9189299999999999,0.00039294,124.2896,
9,3,1,2,0.58,1,1,9.625,0,126.0393,135.6871,136.1999,1,137.4113,1.2114,0.00039221,139.1698,140.4071
10,3,1,2,0.36,1,0,11.375,1,140.9217,152.3177,152.8182,1,153.6589,0.8406299999999999,0.00049264,155.8047,157.0365
11,1,1,3,0.82,0,0,10.5,1,157.5568,168.0684,168.5794,1,169.4341,0.8547399999999999,0.00054323,171.5555,
12,3,1,1,0.22,1,0,10.5,1,173.3075,183.8257,184.3256,0,185.4736,1.1479,0.00029324,187.3082,
13,3,1,3,0.87,0,0,10.5,1,189.0583,199.572,200.0719,1,200.8097,0.73775,0.0010762,203.0571,
14,1,1,2,0.45,0,0,10.5,0,204.80900000000003,215.3206,215.8349,1,216.7128,0.8779299999999999,0.00041273,218.8077,
15,2,1,3,0.7,0,1,9.625,0,220.567,230.2038,230.7147,1,231.5444,0.8297399999999999,0.00050217,233.6908,
16,1,1,1,0.27,0,1,10.5,1,235.4428,245.9611,246.46099999999998,1,247.5038,1.0428,0.00035409,249.4417,
17,2,1,2,0.4,0,0,11.375,0,251.1935,262.5905,263.0904,1,264.3834,1.2929,0.00033283,266.06,
18,1,1,1,0.18,0,0,10.5,1,267.8226,278.3403,278.8409,1,279.7908,0.94991,0.00039954,281.8193,
19,1,1,3,0.74,0,0,10.5,0,283.5689,294.091,294.5916,1,295.6145,1.0228,0.00046039,297.5654,
20,3,1,2,0.52,1,0,10.5,1,299.3152,309.8461,310.346,1,311.3097,0.9637399999999999,0.00029397,313.3123,314.5572
21,1,1,1,0.34,0,1,9.625,0,315.0809,324.7249,325.2258,1,326.4692,1.2434,0.00020527,328.1952,
22,3,1,3,0.7,1,0,11.375,1,329.9579,341.3433,341.8552,1,343.0207,1.1655,0.00019207,344.8303,346.0631
23,2,1,2,0.65,0,1,9.625,0,346.5823,356.2264,356.735,1,357.5964,0.8613200000000001,0.00027784,359.7008,
24,2,1,2,0.49,1,0,11.375,1,361.4507,372.8479,373.3478,1,374.4437,1.0959,0.00033063,376.3319,377.5687
25,2,1,2,0.57,0,1,9.625,0,378.0838,387.7279,388.2284,1,389.4037,1.1752,0.00044206,391.2149,
26,2,1,1,0.22,1,1,10.5,1,392.967,403.4786,403.9906,1,404.8029,0.81226,0.00035629,406.9656,408.1985
27,1,1,2,0.4,1,0,11.375,1,408.7177,420.1137,420.62,1,421.6027,0.9826600000000001,0.00044792,423.5858,424.8268
28,2,1,1,0.27,1,0,10.5,1,425.3526,435.8664,436.3663,1,437.57800000000003,1.2117,0.00034896,439.3488,440.58099999999996
29,1,1,3,0.88,0,0,10.5,1,441.1035,451.6127,452.1157,1,453.0013,0.88565,0.0002016,455.1021,
30,3,1,1,0.09,1,1,9.625,0,456.8542,466.4814,466.9988,0,468.0731,1.0743,0.00035629,469.9748,
31,3,1,2,0.44,1,1,10.5,1,471.7246,482.249,482.7496,0,484.0807,1.3311,0.00048458,485.7213,
32,3,1,3,0.95,1,0,11.375,0,487.4712,498.8849,499.3848,1,500.2801,0.8952899999999999,0.00032110000000000005,502.3545,503.5922
33,2,1,3,0.75,1,0,10.5,1,504.1065,514.6348,515.1354,1,515.8475,0.71212,0.00026392,518.1135,519.3469
34,2,1,1,0.06,1,0,10.5,0,519.8632,530.3856,530.894,0,532.0313,1.1373,0.00042153,533.86,
