Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.12195999999999999,10.5555,11.1055,1,13.0087,1.9032,0.00067005,14.0395,
2,2,1,1,0.13,0,1,9.625,0,15.7876,25.403000000000002,25.903000000000002,0,26.928,1.0249,0.00067665,28.9026,
3,2,1,3,0.91,1,0,11.375,1,30.6691,42.0348,42.5597,1,44.24,1.6803,0.00065832,45.5344,46.772
4,3,1,1,0.15,1,1,9.625,1,47.2968,56.9168,57.4278,0,58.9511,1.5233,0.00065539,60.4163,
5,1,1,2,0.61,0,1,10.5,0,62.1663,72.6909,73.1908,1,74.255,1.0643,0.00065906,76.1649,
6,3,1,1,0.31,1,0,11.375,0,77.923,89.3203,89.8138,0,91.1187,1.3049,0.00066199,92.7967,
7,3,1,3,0.79,1,0,10.5,0,94.5523,105.0499,105.5498,1,106.5581,1.0082,0.00065759,108.54899999999999,109.7828
8,1,1,1,0.1,0,0,10.5,0,110.3153,120.811,121.2961,0,123.2294,1.9333,0.00065686,124.2954,
9,3,1,2,0.58,1,1,9.625,0,126.0449,135.6763,136.1762,1,138.0932,1.9169,0.00065759,139.1758,140.4154
10,3,1,2,0.36,1,0,11.375,1,140.9256,152.3081,152.8081,0,154.436,1.6280000000000001,0.00066345,155.8076,
11,1,1,3,0.82,0,0,10.5,1,157.5576,168.0685,168.5683,1,169.8356,1.2672,0.00065392,171.5563,
12,3,1,1,0.22,1,0,10.5,1,173.3171,183.8146,184.3219,0,185.6035,1.2816,0.00065686,187.3139,
13,3,1,3,0.87,0,0,10.5,1,189.0714,199.5705,200.0705,1,201.051,0.98055,0.00065539,203.0602,
14,1,1,2,0.45,0,0,10.5,0,204.8198,215.3189,215.8239,1,217.1067,1.2828,0.00065832,218.8185,
15,2,1,3,0.7,0,1,9.625,0,220.5727,230.2038,230.7037,1,231.6261,0.9224100000000001,0.00065686,233.6863,
16,1,1,1,0.27,0,1,10.5,1,235.4525,245.9501,246.4499,0,247.4975,1.0475,0.00068618,249.4492,
17,2,1,2,0.4,0,0,11.375,0,251.1991,262.5814,263.0814,0,264.777,1.6956,0.00065906,266.0787,
18,1,1,1,0.18,0,0,10.5,1,267.8309,278.33,278.8298,1,280.1685,1.3386,0.00065906,281.8295,
19,1,1,3,0.74,0,0,10.5,0,283.5795,294.0786,294.5887,1,295.5841,0.99544,0.00066126,297.578,
20,3,1,2,0.52,1,0,10.5,1,299.328,309.8517,310.335,0,311.4634,1.1284,0.00066712,313.3342,
21,1,1,1,0.34,0,1,9.625,0,315.0838,324.7149,325.2257,1,326.4871,1.2613,0.00073823,328.2086,
22,3,1,3,0.7,1,0,11.375,1,329.9636,341.361,341.8609,1,343.0049,1.1441,0.0017081,344.8266,346.0701
