Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.049361,10.5568,11.0823,1,12.5908,1.5085,0.00069791,14.0498,
2,2,1,1,0.13,0,1,9.625,0,15.7888,25.4203,25.9365,1,27.2622,1.3257,0.00069205,28.9134,
3,2,1,3,0.91,1,0,11.375,1,30.6633,42.0493,42.5775,1,44.2453,1.6678,0.00067665,45.5452,46.7746
4,3,1,1,0.15,1,1,9.625,1,47.2951,56.9292,57.4443,1,58.5248,1.0805,0.00067299,60.4115,61.6505
5,1,1,2,0.61,0,1,10.5,0,62.1612,72.6762,73.1929,1,74.4844,1.2915,0.00067299,76.1592,
6,3,1,1,0.31,1,0,11.375,0,77.9257,89.3081,89.8214,1,90.9323,1.1108,0.00067225,92.791,94.0308
7,3,1,3,0.79,1,0,10.5,0,94.5536,105.0733,105.5732,1,106.5077,0.9344899999999999,0.00068105,108.5502,109.7851
8,1,1,1,0.1,0,0,10.5,0,110.3166,120.8219,121.3307,1,122.6352,1.3045,0.00067152,124.3048,
9,3,1,2,0.58,1,1,9.625,0,126.0547,135.7038,136.2106,1,137.1706,0.96001,0.00067738,139.1763,140.4156
10,3,1,2,0.36,1,0,11.375,1,140.9365,152.3234,152.8356,1,154.0743,1.2387,0.00067079,155.8057,157.04399999999998
11,1,1,3,0.82,0,0,10.5,1,157.5555,168.0864,168.5862,1,170.45,1.8637,0.00066932,171.55200000000002,
12,3,1,1,0.22,1,0,10.5,1,173.3184,183.8328,184.3328,1,185.4175,1.0848,0.00066712,187.3158,188.5494
13,3,1,3,0.87,0,0,10.5,1,189.0656,199.5813,200.0955,1,201.1365,1.041,0.00067079,203.0644,
14,1,1,2,0.45,0,0,10.5,0,204.81400000000002,215.3251,215.8466,1,217.9365,2.09,0.00067958,218.8127,
15,2,1,3,0.7,0,1,9.625,0,220.5739,230.2217,230.7216,1,231.5438,0.82214,0.00069351,233.6949,
16,1,1,1,0.27,0,1,10.5,1,235.4538,245.9604,246.4771,1,247.6955,1.2184,0.00067665,249.4505,
17,2,1,2,0.4,0,0,11.375,0,251.2001,262.5974,263.0973,1,264.0229,0.92553,0.00067518,266.0798,
18,1,1,1,0.18,0,0,10.5,1,267.8295,278.3437,278.8435,1,280.3263,1.4828,0.00067225,281.8262,
19,1,1,3,0.74,0,0,10.5,0,283.5759,294.1068,294.6066,1,296.1017,1.4951,0.00068985,297.5723,
20,3,1,2,0.52,1,0,10.5,1,299.3389,309.8547,310.3378,1,311.5251,1.1873,0.00067152,313.3377,314.5683
21,1,1,1,0.34,0,1,9.625,0,315.0875,324.7366,325.2366,1,326.6046,1.368,0.00067005,328.2153,
22,3,1,3,0.7,1,0,11.375,1,329.9649,341.3518,341.8621,1,343.0842,1.2221,0.00067592,344.8347,346.0734
23,2,1,2,0.65,0,1,9.625,0,346.5943,356.2338,356.7419,1,358.6361,1.8942,0.00067299,359.7166,
24,2,1,2,0.49,1,0,11.375,1,361.4666,372.8656,373.3714,1,374.3471,0.97577,0.00069498,376.3486,377.5799
25,2,1,2,0.57,0,1,9.625,0,378.0984,387.7346,388.2475,1,389.9713,1.7237,0.00067885,391.2171,
26,2,1,1,0.22,1,1,10.5,1,392.9668,403.4977,403.9808,1,405.0025,1.0216,0.00066785,406.9634,408.2102
27,1,1,2,0.4,1,0,11.375,1,408.7297,420.1113,420.6113,1,421.9859,1.3746,0.00071111,423.5941,424.8376
28,2,1,1,0.27,1,0,10.5,1,425.3591,435.8733,436.3598,1,437.5773,1.2175,0.00070891,439.3594,440.5911
29,1,1,3,0.88,0,0,10.5,1,441.1093,451.6084,452.1195,1,453.4007,1.2812,0.00067372,455.1079,
30,3,1,1,0.09,1,1,9.625,0,456.858,466.4904,466.9904,1,469.784,2.7937,0.00071184,469.99,471.2213
31,3,1,2,0.44,1,1,10.5,1,471.7399,482.2457,482.7456,1,484.3837,1.6381,0.00068178,485.7386,486.9748
32,3,1,3,0.95,1,0,11.375,0,487.4944,498.8751,499.3751,1,500.4719,1.0968,0.00067445,502.3704,503.6031
33,2,1,3,0.75,1,0,10.5,1,504.1239,514.6381,515.1213,1,516.2869,1.1656,0.00067372,518.1206,519.3567
34,2,1,1,0.06,1,0,10.5,0,519.8701,530.3678,530.8678,1,532.7663,1.8985,0.00067299,533.8676,535.11
35,2,1,3,0.83,0,1,9.625,0,535.6331,545.2642,545.7499,1,547.3021,1.5522,0.00067812,548.7495,
36,1,1,3,0.66,0,1,10.5,1,550.4994,561.0105,561.5151,1,563.0777,1.5626,0.00069864,564.4981,
37,3,2,3,0.84,1,1,10.5,1,566.2592,576.7637,577.2637,1,578.5894,1.3257,0.00067372,580.2558,581.4931
38,1,2,3,0.93,0,1,10.5,0,582.0132,592.5198,593.0197,1,594.3486,1.3289,0.00067445,596.0119,
39,3,2,1,0.2,1,0,11.375,1,597.7685,609.1441,609.644,1,611.0361,1.3921,0.00067005,612.6317,613.8733
40,3,2,2,0.41,1,1,9.625,1,614.3936,624.029,624.5122,1,625.6916,1.1793,0.00067225,627.5113,628.7537
41,1,2,2,0.59,0,1,10.5,1,629.2756,639.7753,640.2752,1,641.3552,1.0799,0.00066932,643.2743,
42,1,2,3,0.85,0,1,10.5,1,645.0241,655.5232,656.0232,1,657.4028,1.3796,0.00066785,659.0229,
43,3,2,3,0.92,1,0,11.375,1,660.7725,672.155,672.655,1,674.2265,1.5714,0.00067812,675.6546,676.8869
44,2,2,3,0.8,0,1,9.625,0,677.4045,687.0369999999999,687.5369999999999,1,689.2818,1.7448,0.00067152,690.53,
45,1,2,2,0.37,0,1,10.5,0,692.2864,702.7854,703.2855,1,704.6813,1.3957,0.00067152,706.2851,
46,1,2,3,0.8,1,1,10.5,1,708.0351,718.5401,719.04,99,,,,722.0392,
47,2,2,2,0.62,0,1,10.5,0,723.7888,734.2864,734.7862,1,735.8322,1.046,0.00067445,737.7855,
48,2,2,1,0.11,1,1,10.5,0,739.5351,750.0328,750.5479,1,752.1834,1.6354,0.00067518,753.5318,754.7751
49,3,2,2,0.5,1,0,11.375,0,755.2981,766.6629,767.1787,1,767.9916,0.8129,0.00067518,770.1628,771.4024
50,3,2,2,0.63,1,1,9.625,0,771.9126,781.5451,782.0451,1,783.8549,1.8098,0.00067372,785.0446,786.2825
51,2,2,3,0.89,0,0,11.375,1,786.7947,798.1768,798.6769,1,800.0865,1.4096,0.00067518,801.6765,
