Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11712,10.5566,11.1235,1,12.4724,1.3489,0.0007177,14.0422,
2,2,1,1,0.13,0,1,9.625,0,15.7886,25.4296,25.9196,1,27.2641,1.3445,0.00071404,28.9021,
3,2,1,3,0.91,1,0,11.375,1,30.6654,42.0543,42.5661,1,44.3434,1.7773,0.00070964,45.5393,46.7725
4,3,1,1,0.15,1,1,9.625,1,47.2901,56.928999999999995,57.4288,0,59.8713,2.4424,0.00070231,60.4131,
5,1,1,2,0.61,0,1,10.5,0,62.163999999999994,72.6753,73.1918,1,74.2386,1.0467,0.00070231,76.1576,
6,3,1,1,0.31,1,0,11.375,0,77.9216,89.3104,89.8046,1,91.8706,2.066,0.00084526,92.7955,94.0271
7,3,1,3,0.79,1,0,10.5,0,94.5463,105.0681,105.5683,1,107.0134,1.4451,0.00070891,108.5363,109.78200000000001
8,1,1,1,0.1,0,0,10.5,0,110.3163,120.8139,121.3138,0,123.0294,1.7156,0.00070158,124.2962,
9,3,1,2,0.58,1,1,9.625,0,126.046,135.6996,136.1998,1,137.9967,1.7969,0.00070011,139.1761,140.41299999999998
10,3,1,2,0.36,1,0,11.375,1,140.9354,152.3243,152.8245,1,154.9244,2.0999,0.00070158,155.8093,157.0411
11,1,1,3,0.82,0,0,10.5,1,157.5601,168.0861,168.5822,1,170.2838,1.7017,0.0007309,171.5518,
12,3,1,1,0.22,1,0,10.5,1,173.3177,183.8324,184.3323,0,186.4191,2.0867,0.00070304,187.3148,
13,3,1,3,0.87,0,0,10.5,1,189.0645,199.5805,200.0807,1,201.6348,1.5541,0.00070084,203.0653,
14,1,1,2,0.45,0,0,10.5,0,204.8163,215.3381,215.8416,1,217.4985,1.6569,0.00070158,218.8075,
15,2,1,3,0.7,0,1,9.625,0,220.5572,230.21200000000002,230.7122,1,232.2415,1.5293,0.00070524,233.6969,
16,1,1,1,0.27,0,1,10.5,1,235.4477,245.9529,246.4697,1,248.7774,2.3077,0.00069938,249.4503,
17,2,1,2,0.4,0,0,11.375,0,251.1999,262.5972,263.0971,1,264.7211,1.624,0.00070378,266.063,
18,1,1,1,0.18,0,0,10.5,1,267.8301,278.3435,278.8522,1,279.9923,1.1402,0.00070378,281.82599999999996,
19,1,1,3,0.74,0,0,10.5,0,283.5756,294.0929,294.5931,1,297.5586,2.9656,0.00070671,297.5777,
20,3,1,2,0.52,1,0,10.5,1,299.3285,309.836,310.3527,0,313.3112,2.9586,0.00070964,313.3186,
21,1,1,1,0.34,0,1,9.625,0,315.0848,324.7243,325.2447,1,326.199,0.9542200000000001,0.00070671,328.2092,
22,3,1,3,0.7,1,0,11.375,1,329.9601,341.3322,341.8451,1,343.1106,1.2655,0.00069938,344.8339,346.0686
23,2,1,2,0.65,0,1,9.625,0,346.5849,356.2396,356.7251,1,357.8697,1.1447,0.00070451,359.7079,
24,2,1,2,0.49,1,0,11.375,1,361.4587,372.8643,373.3478,1,374.9336,1.5859,0.00069938,376.3371,377.5742
25,2,1,2,0.57,0,1,9.625,0,378.0866,387.7344,388.2384,1,389.8688,1.6304,0.00069791,391.2169,
26,2,1,1,0.22,1,1,10.5,1,392.974,403.4807,403.9973,1,405.8128,1.8156,0.00069718,406.9641,408.2044
27,1,1,2,0.4,1,0,11.375,1,408.7149,420.1205,420.6207,1,421.9961,1.3754,0.00070158,423.5926,424.834
28,2,1,1,0.27,1,0,10.5,1,425.3563,435.8731,436.37300000000005,1,437.8596,1.4866,0.00069644,439.3556,440.5863
29,1,1,3,0.88,0,0,10.5,1,441.1051,451.6194,452.1193,1,453.3708,1.2515,0.00069498,455.10400000000004,
30,3,1,1,0.09,1,1,9.625,0,456.8549,466.4992,467.0098,1,469.2185,2.2086,0.00070304,469.9817,471.2175
31,3,1,2,0.44,1,1,10.5,1,471.7313,482.2622,482.7621,1,484.3224,1.5603,0.00070084,485.7355,486.9719
32,3,1,3,0.95,1,0,11.375,0,487.4942,498.8752,499.3755,1,500.8337,1.4582,0.00072504,502.3602,503.5991
33,2,1,3,0.75,1,0,10.5,1,504.111,514.6212,515.1378,1,516.3212,1.1834,0.00069644,518.1204,519.3525
34,2,1,1,0.06,1,0,10.5,0,519.87,530.3738,530.8907,0,532.5547,1.6640000000000001,0.00075289,533.8667,
35,2,1,3,0.83,0,1,9.625,0,535.6263,545.2643,545.7646,1,548.7288,2.9642,0.00070158,548.7492,
36,1,1,3,0.66,0,1,10.5,1,550.5001,561.0103,561.5102,0,564.4811,2.9709,0.0007199,564.4927,
37,3,2,3,0.84,1,1,10.5,1,566.2578,576.7629,577.2565,0,580.2336,2.9771,0.00070011,580.2479,
38,1,2,3,0.93,0,1,10.5,0,582.0053,592.5039,593.0041,1,594.1508,1.1467,0.00069864,596.0054,
39,3,2,1,0.2,1,0,11.375,1,597.7563,609.1323,609.6322,0,611.4063,1.7741,0.00070304,612.6313,
40,3,2,2,0.41,1,1,9.625,1,614.381,624.0121,624.5193,1,625.9096,1.3903,0.00069718,627.5113,628.7446
41,1,2,2,0.59,0,1,10.5,1,629.2608,639.7751,640.2601,1,641.2769999999999,1.0169,0.00070084,643.2616,
42,1,2,3,0.85,0,1,10.5,1,645.0125,655.5214,656.0213,1,658.9725,2.9512,0.00070891,659.0039,
43,3,2,3,0.92,1,0,11.375,1,660.7701,672.1508,672.6507,1,674.6767,2.0259,0.00084453,675.6439999999999,676.8760000000001
44,2,2,3,0.8,0,1,9.625,0,677.3948,687.0162,687.5332,1,688.6361,1.103,0.00070231,690.5179,
45,1,2,2,0.37,0,1,10.5,0,692.2687,702.7769,703.2769,1,704.4355,1.1587,0.00069938,706.2592,
46,1,2,3,0.8,1,1,10.5,1,708.0263,718.5315,719.0317,1,720.3551,1.3233,0.00070451,722.0222,723.2591
47,2,2,2,0.62,0,1,10.5,0,723.7719999999999,734.2722,734.7861,1,737.7586,2.9725,0.00070524,737.7739,
48,2,2,1,0.11,1,1,10.5,0,739.5349,750.0325,750.5324,0,751.8022,1.2698,0.00070304,753.5315,
49,3,2,2,0.5,1,0,11.375,0,755.2824,766.6619,767.1618,1,768.3295,1.1677,0.00069864,770.1562,771.3927
50,3,2,2,0.63,1,1,9.625,0,771.9106,781.5453,782.0455,1,785.0181,2.9726,0.00070231,785.0302,786.2717
51,2,2,3,0.89,0,0,11.375,1,786.7903,798.1712,798.671,0,801.6467,2.9757,0.00069498,801.6548,
52,1,2,3,0.71,0,1,9.625,0,803.4224,813.051,813.5509,1,814.632,1.0811,0.00070378,816.5454,
53,2,2,1,0.19,1,0,11.375,1,818.2997,829.6686,830.1803,0,831.6634,1.4831,0.00070744,833.17,
54,2,2,2,0.46,0,0,10.5,1,834.921,845.4267,845.9266,1,847.2146,1.288,0.00070304,848.9111,
55,3,2,1,0.07,0,1,9.625,0,850.6753,860.3065,860.8064,0,862.7747,1.9683,0.00070378,863.8016,
56,3,2,2,0.55,1,0,11.375,1,865.5552,876.936,877.4358,99,,,,880.4264,
57,2,2,3,0.67,1,1,9.625,1,882.1771,891.799,892.3156,1,893.4854,1.1698,0.00069718,895.3003,896.5386
58,2,2,1,0.25,0,0,11.375,1,897.0511,908.4452,908.9451,1,910.4931,1.5481,0.00069644,911.9275,
59,3,2,1,0.28,1,0,10.5,1,913.6774,924.1976,924.6978,0,926.2124,1.5146,0.00071037,927.6825,
60,1,2,1,0.32,0,1,9.625,0,929.441,939.0715,939.5717,1,941.7241,2.1524,0.00069718,942.5564,
61,3,2,3,0.68,1,1,10.5,1,944.32,954.8343,955.3342,1,956.4038,1.0696,0.00072504,958.3167,959.5508
62,1,2,1,0.07,0,1,10.5,0,960.0663,970.5806,971.0805,1,974.0506,2.9702,0.00070817,974.0715,
63,2,2,2,0.54,1,0,11.375,0,975.8225,987.2114,987.7099,1,988.875,1.1651,0.00070158,990.6962,991.9312
64,2,2,3,0.75,1,0,10.5,0,992.4472,1002.9563,1003.4562,1,1004.3861,0.92989,0.00069644,1006.4539,1007.6869
65,1,2,1,0.23,0,1,9.625,0,1008.205,1017.8361,1018.336,99,,,,1021.3277,
66,1,2,2,0.5,0,1,10.5,0,1023.0848,1033.5838,1034.0841,1,1035.3932,1.3091,0.00070378,1037.0816,
67,3,2,1,0.14,1,0,11.375,0,1038.8363,1050.2118,1050.7117,0,1051.849,1.1372,0.00070011,1053.7109,
68,2,2,1,0.32,0,1,9.625,0,1055.461,1065.0917,1065.5915,99,,,,1068.5841,
69,1,2,2,0.45,0,0,11.375,1,1070.3404,1081.721,1082.221,1,1084.1993,1.9784,0.0015945,1085.2088,
70,2,2,2,0.38,1,0,10.5,0,1086.9596,1097.4674,1097.9673,1,1100.5987,2.6315,0.00070304,1100.9664,1102.2
71,3,2,3,0.76,1,1,9.625,0,1102.7172,1112.3472,1112.8471,1,1113.8384,0.99136,0.00070891,1115.8401,1117.0786
72,1,2,1,0.16,0,0,11.375,0,1117.5959,1128.98,1129.4802,1,1131.5262,2.046,0.00070744,1132.465,
73,3,3,2,0.39,1,1,9.625,0,1134.2253,1143.8398,1144.3563,99,,,,1147.3389,
74,2,3,1,0.24,1,1,10.5,0,1149.0896,1159.6028,1160.1027,1,1161.5656,1.4629,0.00069791,1163.1017,1164.3347
75,2,3,3,0.86,0,0,11.375,0,1164.8514,1176.2362,1176.7364,99,,,,1179.7312,
76,1,3,2,0.56,0,1,9.625,0,1181.4809,1191.112,1191.6119,1,1194.5877,2.9759,0.00070451,1194.5949,
77,3,3,3,0.81,1,1,10.5,0,1196.3625,1206.8583,1207.3679,1,1210.3403,2.9724,0.00070891,1210.3573,1211.594
78,2,3,3,0.94,0,1,10.5,0,1212.107,1222.6212,1223.1255,1,1224.7309,1.6054,0.00069938,1226.1103,
79,2,3,2,0.51,1,0,11.375,1,1227.87,1239.2506,1239.7505,99,,,,1242.7349,
80,3,3,1,0.33,1,1,9.625,0,1244.4858,1254.1305,1254.6304,0,1256.0986,1.4682,0.00069938,1257.6129,
81,1,3,2,0.42,0,0,11.375,0,1259.3625,1270.7486,1271.2598,1,1272.3936,1.1338,0.00070451,1274.2423,
82,1,3,3,0.69,0,0,10.5,0,1275.9919,1286.5062,1287.0064,1,1288.1614,1.155,0.00069864,1289.9912,
83,2,3,3,0.72,0,0,10.5,0,1291.7421,1302.2525,1302.7524,1,1303.7128,0.9604299999999999,0.00071257,1305.7516,
84,1,3,1,0.12,0,0,10.5,1,1307.5012,1318.0048,1318.505,0,1319.9364,1.4313,0.00070304,1321.4978,
85,3,3,2,0.55,1,0,10.5,1,1323.2572,1333.7617,1334.2616,1,1337.0316,2.7699,0.00069938,1337.2473,1338.4879999999998
86,1,3,1,0.21,0,0,10.5,1,1339.0105,1349.5079999999998,1350.0079,99,,,,1353.0072,
87,3,3,2,0.47,1,0,10.5,0,1354.7567,1365.2609,1365.7612,1,1368.1588,2.3975,0.00070597,1368.7534,1369.9945
88,3,3,1,0.12,1,1,9.625,1,1370.5133,1380.1348,1380.6349,0,1382.5506,1.9157,0.00071477,1383.6363,
89,2,3,1,0.17,1,1,10.5,1,1385.3873,1395.8971,1396.3970000000002,1,1397.6378,1.2408,0.00069424,1399.3795,1400.6249
90,1,3,2,0.64,0,0,11.375,0,1401.1458,1412.517,1413.0172,1,1414.0135,0.9962700000000001,0.0007155,1416.0187,
91,1,3,1,0.05,0,0,10.5,0,1417.7696,1428.2728,1428.775,0,1430.1253,1.3503,0.00069644,1431.7720000000002,
92,1,3,3,0.85,0,1,9.625,0,1433.5215,1443.1526,1443.6525,99,,,,1446.6518,
93,1,3,1,0.29,0,1,10.5,0,1448.4014,1458.9156,1459.4065,99,,,,1462.3981,
94,1,3,3,0.77,1,0,11.375,0,1464.1478,1475.5309,1476.0312,1,1477.2032,1.172,0.00070158,1479.0274,1480.261
95,3,3,1,0.17,1,0,10.5,0,1480.7834,1491.2746,1491.7888,0,1493.1628,1.374,0.00070597,1494.7738,
96,2,3,3,0.78,1,1,9.625,0,1496.5244,1506.1624,1506.6627,1,1507.7065,1.0438,0.00071331,1509.6536,1510.8929999999998
97,2,3,2,0.43,1,1,10.5,0,1511.4149,1521.9174,1522.4203,1,1523.4102,0.9899,0.00070597,1525.4049,1526.6453
98,3,3,3,0.65,1,1,10.5,0,1527.1662,1537.6637,1538.1636,99,,,,1541.1629,
99,3,3,3,0.73,0,0,11.375,1,1542.9135,1554.2932,1554.8026,0,1557.7745,2.9719,0.00070378,1557.7921,
100,2,3,1,0.3,0,0,10.5,1,1559.5419,1570.0433,1570.5436,0,1573.5267,2.9831,0.00070304,1573.5448,
101,1,3,3,0.9,0,0,10.5,0,1575.2958,1585.8024,1586.3023,1,1587.5124,1.2101,0.00070378,1589.2859,
102,3,3,1,0.26,1,1,9.625,1,1591.0534,1600.6748,1601.1821,1,1602.0798,0.89765,0.00070597,1604.1763,1605.4092
103,1,3,2,0.48,0,1,10.5,1,1605.931,1616.4324,1616.9327,1,1617.8793,0.94665,0.00070597,1619.9277,
104,2,3,1,0.08,0,0,11.375,0,1621.6849,1633.058,1633.5578,1,1636.537,2.9791,0.00070084,1636.5586,
105,3,3,3,0.9,1,1,9.625,0,1638.3096,1647.9378,1648.4377,1,1651.4147,2.977,0.00071697,1651.4325,1652.6682
106,2,3,2,0.6,1,1,10.5,1,1653.1865,1663.6886,1664.1889,99,,,,1667.1832,
107,2,3,2,0.35,0,1,10.5,0,1668.9411,1679.4470000000001,1679.9469,1,1681.1170000000002,1.1701,0.00072284,1682.9312,
108,3,3,2,0.6,1,1,10.5,1,1684.6958,1695.1933,1695.6932,99,,,,1698.6923,
