Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResponseOnset,ResponseTime,ResponseUncertainty,ResultOnset,ShockOnset
1,1,1,2,0.53,0,0,10.5,0,0.11807999999999999,10.5657,11.1268,1,12.8493,1.7226,0.00066273,14.0331,
2,2,1,1,0.13,0,1,9.625,0,15.7927,25.4123,25.9121,0,27.9691,2.057,0.00066199,28.9113,
3,2,1,3,0.91,1,0,11.375,1,30.6611,42.0585,42.57,1,43.8891,1.3191,0.0006532,45.5243,46.7742
4,3,1,1,0.15,1,1,9.625,1,47.2905,56.9227,57.4225,0,58.8565,1.4341,0.00063927,60.4056,
5,1,1,2,0.61,0,1,10.5,0,62.1555,72.6849,73.188,1,74.544,1.3561,0.00063707,76.171,
6,3,1,1,0.31,1,0,11.375,0,77.9209,89.2976,89.8031,1,91.50399999999999,1.7008,0.00072211,92.7862,94.0267
7,3,1,3,0.79,1,0,10.5,0,94.5465,105.0686,105.5686,1,107.015,1.4464,0.00063927,108.5433,109.7797
8,1,1,1,0.1,0,0,10.5,0,110.3096,120.8173,121.307,1,123.255,1.9479,0.00063927,124.3002,
9,3,1,2,0.58,1,1,9.625,0,126.056,135.6994,136.1994,1,138.1666,1.9673,0.00064367,139.1697,140.4114
10,3,1,2,0.36,1,0,11.375,1,140.9359,152.3334,152.8165,1,155.1183,2.3018,0.00064367,155.7992,157.042
11,1,1,3,0.82,0,0,10.5,1,157.5655,168.08,168.58,1,170.3177,1.7377,0.00064806,171.563,
12,3,1,1,0.22,1,0,10.5,1,173.3129,183.8287,184.3287,0,186.3657,2.0371,0.00064293,187.3117,
13,3,1,3,0.87,0,0,10.5,1,189.0615,199.5893,200.0892,1,201.453,1.3638,0.00064293,203.0603,
14,1,1,2,0.45,0,0,10.5,0,204.8214,215.3427,215.8356,1,217.3006,1.465,0.00064,218.8181,
15,2,1,3,0.7,0,1,9.625,0,220.5678,230.2156,230.7155,1,231.8604,1.1449,0.0006487999999999999,233.6981,
16,1,1,1,0.27,0,1,10.5,1,235.4477,245.96200000000002,246.4735,1,248.0277,1.5543,0.0006466,249.4444,
17,2,1,2,0.4,0,0,11.375,0,251.1943,262.5916,263.0915,1,264.2113,1.1198,0.0006487999999999999,266.0741,
18,1,1,1,0.18,0,0,10.5,1,267.8237,278.33799999999997,278.8546,1,280.8594,2.0049,0.00066859,281.8204,
19,1,1,3,0.74,0,0,10.5,0,283.5703,294.1028,294.6028,1,295.7147,1.1119,0.00064513,297.5858,
20,3,1,2,0.52,1,0,10.5,1,299.3357,309.8515,310.3515,1,312.3062,1.9548,0.00066786,313.3345,314.5692
21,1,1,1,0.34,0,1,9.625,0,315.0843,324.7336,325.2336,1,326.9062,1.6726,0.0006422000000000001,328.2098,
22,3,1,3,0.7,1,0,11.375,1,329.9664,341.3655,341.8569,1,343.1697,1.3128,0.00064293,344.8393,346.0745
23,2,1,2,0.65,0,1,9.625,0,346.589,356.2369,356.7368,1,357.8812,1.1444,0.0006422000000000001,359.7193,
24,2,1,2,0.49,1,0,11.375,1,361.469,372.8664,373.3663,1,374.9211,1.5548,0.00064293,376.3458,377.5798
